BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
4910,84.74,884,15.26,5794,799,423,13.79,52.94,"13,8%",321,Nordrhein-Westfalen
2073,85.17,361,14.83,2434,425,238,17.46,56.0,"17,5%",129,Baden-Württemberg
1110,74.85,373,25.15,1483,352,184,23.74,52.27,"23,7%",78,Sachsen
469,83.9,90,16.1,559,86,53,15.38,61.63,"15,4%",24,Hamburg
2876,85.39,492,14.61,3368,670,354,19.89,52.84,"19,9%",208,Bayern
1585,82.34,340,17.66,1925,263,147,13.66,55.89,"13,7%",121,Niedersachsen
372,81.76,83,18.24,455,82,36,18.02,43.9,18%,17,Saarland
1670,87.53,238,12.47,1908,398,185,20.86,46.48,"20,9%",99,Hessen
736,88.67,94,11.33,830,179,108,21.57,60.34,"21,6%",42,Sachsen-Anhalt
613,83.18,124,16.82,737,170,86,23.07,50.59,"23,1%",37,Thüringen
566,76.59,173,23.41,739,101,59,13.67,58.42,"13,7%",33,Schleswig-Holstein
529,81.13,123,18.87,652,85,28,13.04,32.94,13%,34,Mecklenburg-Vorpommern
816,76.33,253,23.67,1069,176,91,16.46,51.7,"16,5%",77,Rheinland-Pfalz
1010,86.4,159,13.6,1169,347,243,29.68,70.03,"29,7%",53,Berlin
159,88.83,20,11.17,179,36,26,20.11,72.22,"20,1%",12,Bremen
552,76.88,166,23.12,718,175,77,24.37,44.0,"24,4%",49,Brandenburg

