BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
515,89.72,59,10.28,574,94,54,16.38,57.45,"16,4%",24,Hamburg
601,86.72,92,13.28,693,187,109,26.98,58.29,27%,36,Thüringen
572,77.09,170,22.91,742,51,30,6.87,58.82,"6,9%",33,Schleswig-Holstein
1128,76.68,343,23.32,1471,293,186,19.92,63.48,"19,9%",78,Sachsen
2122,87.47,304,12.53,2426,409,215,16.86,52.57,"16,9%",129,Baden-Württemberg
1019,90.34,109,9.66,1128,239,171,21.19,71.55,"21,2%",53,Berlin
2935,86.94,441,13.06,3376,642,357,19.02,55.61,19%,208,Bayern
688,84.62,125,15.38,813,106,49,13.04,46.23,13%,42,Sachsen-Anhalt
496,83.08,101,16.92,597,69,44,11.56,63.77,"11,6%",32,Mecklenburg-Vorpommern
163,89.56,19,10.44,182,42,26,23.08,61.9,"23,1%",12,Bremen
832,77.11,247,22.89,1079,121,64,11.21,52.89,"11,2%",77,Rheinland-Pfalz
1595,83.99,304,16.01,1899,265,143,13.95,53.96,14%,120,Niedersachsen
368,82.33,79,17.67,447,48,25,10.74,52.08,"10,7%",17,Saarland
4945,86.63,763,13.37,5708,778,414,13.63,53.21,"13,6%",320,Nordrhein-Westfalen
1701,86.7,261,13.3,1962,368,184,18.76,50.0,"18,8%",99,Hessen
558,80.64,134,19.36,692,129,74,18.64,57.36,"18,6%",50,Brandenburg

