BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
857,78.26,238,21.74,1095,203,88,18.54,43.35,"18,5%",77,Rheinland-Pfalz
1707,87.85,236,12.15,1943,493,264,25.37,53.55,"25,4%",101,Hessen
391,85.93,64,14.07,455,72,32,15.82,44.44,"15,8%",17,Saarland
2958,87.54,421,12.46,3379,881,495,26.07,56.19,"26,1%",208,Bayern
5031,86.98,753,13.02,5784,1036,597,17.91,57.63,"17,9%",320,Nordrhein-Westfalen
725,86.62,112,13.38,837,209,125,24.97,59.81,25%,43,Sachsen-Anhalt
2084,85.8,345,14.2,2429,597,356,24.58,59.63,"24,6%",129,Baden-Württemberg
558,75.0,186,25.0,744,64,41,8.6,64.06,"8,6%",33,Schleswig-Holstein
1229,82.65,258,17.35,1487,530,279,35.64,52.64,"35,6%",78,Sachsen
488,86.99,73,13.01,561,106,72,18.89,67.92,"18,9%",24,Hamburg
1049,89.05,129,10.95,1178,436,294,37.01,67.43,37%,53,Berlin
1645,83.42,327,16.58,1972,273,138,13.84,50.55,"13,8%",123,Niedersachsen
627,86.72,96,13.28,723,208,115,28.77,55.29,"28,8%",37,Thüringen
169,83.25,34,16.75,203,32,15,15.76,46.88,"15,8%",12,Bremen
648,87.57,92,12.43,740,245,119,33.11,48.57,"33,1%",49,Brandenburg
561,84.87,100,15.13,661,92,38,13.92,41.3,"13,9%",34,Mecklenburg-Vorpommern

