BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
4927,85.29,850,14.71,5777,574,329,9.94,57.32,"9,9%",323,Nordrhein-Westfalen
1692,85.84,279,14.16,1971,259,137,13.14,52.9,"13,1%",102,Hessen
1121,75.29,368,24.71,1489,193,107,12.96,55.44,13%,79,Sachsen
2892,85.28,499,14.72,3391,438,245,12.92,55.94,"12,9%",209,Bayern
561,73.82,199,26.18,760,64,41,8.42,64.06,"8,4%",33,Schleswig-Holstein
1606,81.9,355,18.1,1961,196,119,9.99,60.71,10%,125,Niedersachsen
495,78.32,137,21.68,632,42,29,6.65,69.05,"6,7%",34,Mecklenburg-Vorpommern
672,81.65,151,18.35,823,87,47,10.57,54.02,"10,6%",43,Sachsen-Anhalt
162,93.1,12,6.9,174,33,25,18.97,75.76,19%,12,Bremen
2033,84.08,385,15.92,2418,241,140,9.97,58.09,10%,130,Baden-Württemberg
581,79.26,152,20.74,733,76,44,10.37,57.89,"10,4%",51,Brandenburg
632,88.39,83,11.61,715,133,71,18.6,53.38,"18,6%",36,Thüringen
520,89.81,59,10.19,579,92,50,15.89,54.35,"15,9%",24,Hamburg
827,76.08,260,23.92,1087,79,36,7.27,45.57,"7,3%",78,Rheinland-Pfalz
1009,88.35,133,11.65,1142,199,137,17.43,68.84,"17,4%",54,Berlin
364,80.71,87,19.29,451,43,22,9.53,51.16,"9,5%",17,Saarland

