BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
537,72.67,202,27.33,739,55,30,7.44,54.55,"7,4%",33,Schleswig-Holstein
598,83.17,121,16.83,719,203,106,28.23,52.22,"28,2%",37,Thüringen
1638,85.85,270,14.15,1908,501,260,26.26,51.9,"26,3%",100,Hessen
1006,87.48,144,12.52,1150,405,264,35.22,65.19,"35,2%",53,Berlin
2030,85.12,355,14.88,2385,616,343,25.83,55.68,"25,8%",128,Baden-Württemberg
564,81.62,127,18.38,691,237,101,34.3,42.62,"34,3%",48,Brandenburg
492,75.11,163,24.89,655,64,29,9.77,45.31,"9,8%",34,Mecklenburg-Vorpommern
1527,78.07,429,21.93,1956,242,114,12.37,47.11,"12,4%",123,Niedersachsen
174,84.88,31,15.12,205,35,20,17.07,57.14,"17,1%",12,Bremen
376,87.65,53,12.35,429,97,41,22.61,42.27,"22,6%",18,Saarland
2850,84.75,513,15.25,3363,911,511,27.09,56.09,"27,1%",209,Bayern
800,75.76,256,24.24,1056,234,120,22.16,51.28,"22,2%",77,Rheinland-Pfalz
1228,82.75,256,17.25,1484,566,277,38.14,48.94,"38,1%",78,Sachsen
446,82.75,93,17.25,539,115,73,21.34,63.48,"21,3%",24,Hamburg
682,80.14,169,19.86,851,160,84,18.8,52.5,"18,8%",43,Sachsen-Anhalt
4913,84.87,876,15.13,5789,1138,640,19.66,56.24,"19,7%",322,Nordrhein-Westfalen

