BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
506,83.09,103,16.91,609,5,4,0.82,80.0,"0,8%",34,Mecklenburg-Vorpommern
1231,83.23,248,16.77,1479,43,31,2.91,72.09,"2,9%",79,Sachsen
175,89.29,21,10.71,196,1,1,0.51,100.0,"0,5%",12,Bremen
557,84.65,101,15.35,658,16,12,2.43,75.0,"2,4%",36,Thüringen
945,87.34,137,12.66,1082,49,34,4.53,69.39,"4,5%",53,Berlin
554,75.68,178,24.32,732,11,9,1.5,81.82,"1,5%",32,Schleswig-Holstein
4810,86.71,737,13.29,5547,134,101,2.42,75.37,"2,4%",319,Nordrhein-Westfalen
1605,84.3,299,15.7,1904,26,19,1.37,73.08,"1,4%",120,Niedersachsen
522,86.0,85,14.0,607,5,4,0.82,80.0,"0,8%",48,Brandenburg
398,89.04,49,10.96,447,10,6,2.24,60.0,"2,2%",17,Saarland
791,74.41,272,25.59,1063,14,10,1.32,71.43,"1,3%",77,Rheinland-Pfalz
453,83.73,88,16.27,541,21,15,3.88,71.43,"3,9%",23,Hamburg
673,84.55,123,15.45,796,9,8,1.13,88.89,"1,1%",42,Sachsen-Anhalt
1617,85.74,269,14.26,1886,85,49,4.51,57.65,"4,5%",97,Hessen
2006,84.68,363,15.32,2369,75,52,3.17,69.33,"3,2%",128,Baden-Württemberg
2744,84.38,508,15.62,3252,108,71,3.32,65.74,"3,3%",208,Bayern

