BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
831,76.03,262,23.97,1093,206,99,18.85,48.06,"18,9%",78,Rheinland-Pfalz
2051,85.17,357,14.83,2408,592,316,24.58,53.38,"24,6%",129,Baden-Württemberg
159,84.57,29,15.43,188,37,20,19.68,54.05,"19,7%",12,Bremen
573,80.59,138,19.41,711,146,68,20.53,46.58,"20,5%",37,Thüringen
1293,85.63,217,14.37,1510,592,285,39.21,48.14,"39,2%",77,Sachsen
981,86.66,151,13.34,1132,368,238,32.51,64.67,"32,5%",53,Berlin
496,75.04,165,24.96,661,55,17,8.32,30.91,"8,3%",34,Mecklenburg-Vorpommern
2880,84.88,513,15.12,3393,803,452,23.67,56.29,"23,7%",209,Bayern
1556,77.68,447,22.32,2003,200,93,9.99,46.5,10%,123,Niedersachsen
456,85.55,77,14.45,533,105,62,19.7,59.05,"19,7%",24,Hamburg
679,80.45,165,19.55,844,132,61,15.64,46.21,"15,6%",43,Sachsen-Anhalt
347,77.98,98,22.02,445,77,29,17.3,37.66,"17,3%",19,Saarland
549,71.48,219,28.52,768,29,15,3.78,51.72,"3,8%",33,Schleswig-Holstein
576,82.29,124,17.71,700,175,63,25.0,36.0,25%,49,Brandenburg
4856,84.66,880,15.34,5736,1078,589,18.79,54.64,"18,8%",321,Nordrhein-Westfalen
1611,85.97,263,14.03,1874,429,241,22.89,56.18,"22,9%",100,Hessen

