"Datum";"Jahr";"Monat";"Tag";"Laborbestätigte Fälle (Meldedatum)";"Laborbestätigte Fälle (kumuliert)";"Laborbestätigte Fälle (übermittelt)";"Einweisung Krankenhaus";"Einweisung Krankenhaus (kumuliert)";"Sterbefälle";"Sterbefälle (kumuliert)";"Genesene (geschätzt)";"Genesene (geschätzt, kumuliert)"
"2020-03-07";"2020";"03 ";"07";2;2;2;0;0;0;0;0;0
"2020-03-08";"2020";"03 ";"08";0;3;2;0;1;0;1;0;1
"2020-03-09";"2020";"03 ";"09";1;4;2;0;2;0;2;0;2
"2020-03-10";"2020";"03 ";"10";2;5;5;0;3;0;3;0;3
"2020-03-11";"2020";"03 ";"11";4;6;5;0;4;0;4;0;4
"2020-03-12";"2020";"03 ";"12";6;7;5;0;5;0;5;0;5
"2020-03-13";"2020";"03 ";"13";7;8;11;0;6;0;6;0;6
"2020-03-14";"2020";"03 ";"14";11;9;17;0;7;0;7;0;7
"2020-03-15";"2020";"03 ";"15";4;10;17;0;8;0;8;0;8
"2020-03-16";"2020";"03 ";"16";5;11;24;0;9;0;9;0;9
"2020-03-17";"2020";"03 ";"17";17;12;34;1;10;0;10;0;10
"2020-03-18";"2020";"03 ";"18";16;13;49;2;11;0;11;0;11
"2020-03-19";"2020";"03 ";"19";28;14;59;1;12;0;12;0;12
"2020-03-20";"2020";"03 ";"20";21;15;96;1;13;0;13;0;13
"2020-03-21";"2020";"03 ";"21";35;16;114;0;14;0;14;2;14
"2020-03-22";"2020";"03 ";"22";0;17;138;1;15;0;15;0;15
"2020-03-23";"2020";"03 ";"23";17;18;153;3;16;1;16;1;16
"2020-03-24";"2020";"03 ";"24";41;19;166;5;17;1;17;2;17
"2020-03-25";"2020";"03 ";"25";13;20;215;3;18;0;18;1;18
"2020-03-26";"2020";"03 ";"26";34;21;238;3;19;0;19;7;19
"2020-03-27";"2020";"03 ";"27";36;22;286;7;20;0;20;7;20
"2020-03-28";"2020";"03 ";"28";24;23;313;1;21;1;21;11;21
"2020-03-29";"2020";"03 ";"29";9;24;319;2;22;0;22;4;22
"2020-03-30";"2020";"03 ";"30";18;25;338;7;23;1;23;5;23
"2020-03-31";"2020";"03 ";"31";19;26;357;1;24;0;24;14;24
"2020-04-01";"2020";"04";"01 ";21;27;377;3;25;0;25;16;25
"2020-04-02";"2020";"04";"02 ";10;28;397;1;26;0;26;25;26
"2020-04-03";"2020";"04";"03 ";26;29;406;7;27;0;27;17;27
"2020-04-04";"2020";"04";"04";20;30;444;2;28;1;28;35;28
"2020-04-05";"2020";"04";"05";4;31;447;1;29;0;29;0;29
"2020-04-06";"2020";"04";"06";4;32;454;3;30;0;30;11;30
"2020-04-07";"2020";"04";"07";9;33;457;1;31;0;31;35;31
"2020-04-08";"2020";"04";"08";9;34;465;0;32;0;32;8;32
"2020-04-09";"2020";"04";"09";7;35;475;1;33;0;33;32;33
"2020-04-10";"2020";"04";"10";0;36;484;0;34;0;34;37;34
"2020-04-11";"2020";"04";"11";4;37;485;0;35;0;35;20;35
"2020-04-12";"2020";"04";"12";4;38;490;0;36;0;36;7;36
"2020-04-13";"2020";"04";"13";1;39;490;0;37;0;37;12;37
"2020-04-14";"2020";"04";"14";5;40;491;1;38;0;38;17;38
"2020-04-15";"2020";"04";"15";8;41;496;2;39;1;39;22;39
"2020-04-16";"2020";"04";"16";2;42;502;2;40;0;40;6;40
"2020-04-17";"2020";"04";"17";17;43;507;1;41;0;41;24;41
"2020-04-18";"2020";"04";"18";0;44;515;0;42;0;42;22;42
"2020-04-19";"2020";"04";"19";1;45;523;0;43;0;43;5;43
"2020-04-20";"2020";"04";"20";3;46;523;0;44;0;44;6;44
"2020-04-21";"2020";"04";"21";8;47;525;0;45;0;45;10;45
"2020-04-22";"2020";"04";"22";4;48;532;1;46;0;46;15;46
"2020-04-23";"2020";"04";"23";1;49;537;0;47;0;47;12;47
"2020-04-24";"2020";"04";"24";6;50;540;0;48;0;48;3;48
"2020-04-25";"2020";"04";"25";3;51;548;0;49;0;49;5;49
"2020-04-26";"2020";"04";"26";5;52;550;0;50;0;50;7;50
"2020-04-27";"2020";"04";"27";0;53;553;0;51;0;51;2;51
"2020-04-28";"2020";"04";"28";4;54;554;2;52;0;52;7;52
"2020-04-29";"2020";"04";"29";6;55;558;2;53;0;53;0;53
"2020-04-30";"2020";"04";"30";3;56;560;1;54;1;54;9;54
"2020-05-01";"2020";"05";"01 ";1;57;566;0;55;0;55;19;55
"2020-05-02";"2020";"05";"02 ";1;58;567;0;56;1;56;3;56
"2020-05-03";"2020";"05";"03 ";1;59;568;0;57;0;57;1;57
"2020-05-04";"2020";"05";"04";0;60;570;0;58;0;58;4;58
"2020-05-05";"2020";"05";"05";8;61;575;0;59;0;59;9;59
"2020-05-06";"2020";"05";"06";6;62;578;0;60;1;60;6;60
"2020-05-07";"2020";"05";"07";3;63;583;0;61;0;61;2;61
"2020-05-08";"2020";"05";"08";5;64;585;0;62;0;62;6;62
"2020-05-09";"2020";"05";"09";3;65;590;0;63;0;63;3;63
"2020-05-10";"2020";"05";"10";0;66;593;0;64;0;64;5;64
"2020-05-11";"2020";"05";"11";1;67;593;0;65;0;65;0;65
"2020-05-12";"2020";"05";"12";1;68;593;0;66;0;66;0;66
"2020-05-13";"2020";"05";"13";3;69;594;1;67;0;67;8;67
"2020-05-14";"2020";"05";"14";6;70;595;2;68;0;68;3;68
"2020-05-15";"2020";"05";"15";3;71;602;1;69;1;69;2;69
"2020-05-16";"2020";"05";"16";0;72;604;0;70;0;70;1;70
"2020-05-17";"2020";"05";"17";0;73;604;0;71;0;71;1;71
"2020-05-18";"2020";"05";"18";4;74;605;1;72;0;72;1;72
"2020-05-19";"2020";"05";"19";4;75;608;0;73;0;73;8;73
"2020-05-20";"2020";"05";"20";1;76;612;0;74;0;74;4;74
"2020-05-21";"2020";"05";"21";4;77;613;1;75;0;75;3;75
"2020-05-22";"2020";"05";"22";0;78;617;0;76;0;76;4;76
"2020-05-23";"2020";"05";"23";0;79;617;0;77;0;77;3;77
"2020-05-24";"2020";"05";"24";0;80;617;0;78;0;78;0;78
"2020-05-25";"2020";"05";"25";0;81;617;0;79;0;79;1;79
"2020-05-26";"2020";"05";"26";2;82;618;0;80;0;80;1;80
"2020-05-27";"2020";"05";"27";1;83;619;0;81;0;81;2;81
"2020-05-28";"2020";"05";"28";2;84;620;0;82;0;82;5;82
"2020-05-29";"2020";"05";"29";0;85;621;0;83;0;83;3;83
"2020-05-30";"2020";"05";"30";0;86;622;0;84;0;84;0;84
"2020-05-31";"2020";"05";"31";0;87;622;0;85;0;85;0;85
"2020-06-01";"2020";"06";"01 ";0;88;622;0;86;0;86;3;86
"2020-06-02";"2020";"06";"02 ";0;89;622;0;87;0;87;4;87
"2020-06-03";"2020";"06";"03 ";0;90;622;0;88;0;88;0;88
"2020-06-04";"2020";"06";"04";0;91;622;0;89;0;89;7;89
"2020-06-05";"2020";"06";"05";0;92;622;0;90;0;90;0;90
"2020-06-06";"2020";"06";"06";2;93;623;0;91;0;91;0;91
"2020-06-07";"2020";"06";"07";0;94;623;0;92;0;92;0;92
"2020-06-08";"2020";"06";"08";0;95;623;0;93;0;93;1;93
"2020-06-09";"2020";"06";"09";0;96;623;0;94;0;94;2;94
"2020-06-10";"2020";"06";"10";0;97;623;0;95;0;95;1;95
"2020-06-11";"2020";"06";"11";0;98;623;0;96;0;96;2;96
