BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
459,86.12,74,13.88,533,26,18,4.88,69.23,"4,9%",23,Hamburg
570,84.82,102,15.18,672,25,20,3.72,80.0,"3,7%",36,Thüringen
663,83.4,132,16.6,795,15,14,1.89,93.33,"1,9%",42,Sachsen-Anhalt
179,93.23,13,6.77,192,4,3,2.08,75.0,"2,1%",12,Bremen
529,86.3,84,13.7,613,6,6,0.98,100.0,1%,48,Brandenburg
949,87.47,136,12.53,1085,63,53,5.81,84.13,"5,8%",53,Berlin
527,87.83,73,12.17,600,10,5,1.67,50.0,"1,7%",33,Mecklenburg-Vorpommern
2056,86.82,312,13.18,2368,106,79,4.48,74.53,"4,5%",128,Baden-Württemberg
1238,83.48,245,16.52,1483,64,47,4.32,73.44,"4,3%",79,Sachsen
1616,85.5,274,14.5,1890,95,61,5.03,64.21,5%,97,Hessen
811,76.29,252,23.71,1063,21,15,1.98,71.43,2%,77,Rheinland-Pfalz
597,81.56,135,18.44,732,18,13,2.46,72.22,"2,5%",32,Schleswig-Holstein
2767,85.35,475,14.65,3242,133,92,4.1,69.17,"4,1%",208,Bayern
388,86.61,60,13.39,448,8,6,1.79,75.0,"1,8%",17,Saarland
4888,87.24,715,12.76,5603,180,127,3.21,70.56,"3,2%",318,Nordrhein-Westfalen
1611,84.08,305,15.92,1916,38,26,1.98,68.42,2%,120,Niedersachsen

