BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
4998,85.82,826,14.18,5824,804,442,13.8,54.98,"13,8%",321,Nordrhein-Westfalen
2113,86.63,326,13.37,2439,395,219,16.2,55.44,"16,2%",129,Baden-Württemberg
1116,75.1,370,24.9,1486,337,178,22.68,52.82,"22,7%",78,Sachsen
473,84.92,84,15.08,557,88,55,15.8,62.5,"15,8%",24,Hamburg
2881,85.54,487,14.46,3368,684,367,20.31,53.65,"20,3%",208,Bayern
1616,82.58,341,17.42,1957,260,148,13.29,56.92,"13,3%",121,Niedersachsen
399,87.12,59,12.88,458,87,36,19.0,41.38,19%,17,Saarland
1692,87.17,249,12.83,1941,395,191,20.35,48.35,"20,4%",100,Hessen
725,87.88,100,12.12,825,173,108,20.97,62.43,21%,42,Sachsen-Anhalt
621,84.72,112,15.28,733,171,84,23.33,49.12,"23,3%",37,Thüringen
582,78.65,158,21.35,740,93,55,12.57,59.14,"12,6%",33,Schleswig-Holstein
527,81.08,123,18.92,650,85,30,13.08,35.29,"13,1%",34,Mecklenburg-Vorpommern
833,77.92,236,22.08,1069,182,91,17.03,50.0,17%,77,Rheinland-Pfalz
1009,85.95,165,14.05,1174,348,245,29.64,70.4,"29,6%",53,Berlin
170,88.08,23,11.92,193,37,25,19.17,67.57,"19,2%",12,Bremen
548,76.75,166,23.25,714,180,78,25.21,43.33,"25,2%",49,Brandenburg

