BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
612,88.18,82,11.82,694,181,110,26.08,60.77,"26,1%",36,Thüringen
399,90.68,41,9.32,440,69,36,15.68,52.17,"15,7%",17,Saarland
995,87.36,144,12.64,1139,287,200,25.2,69.69,"25,2%",53,Berlin
2140,86.96,321,13.04,2461,612,370,24.87,60.46,"24,9%",128,Baden-Württemberg
525,84.41,97,15.59,622,74,42,11.9,56.76,"11,9%",34,Mecklenburg-Vorpommern
595,86.11,96,13.89,691,124,67,17.95,54.03,18%,50,Brandenburg
3006,89.62,348,10.38,3354,718,448,21.41,62.4,"21,4%",208,Bayern
184,93.4,13,6.6,197,41,26,20.81,63.41,"20,8%",12,Bremen
471,87.22,69,12.78,540,84,59,15.56,70.24,"15,6%",24,Hamburg
865,81.37,198,18.63,1063,173,102,16.27,58.96,"16,3%",77,Rheinland-Pfalz
698,87.58,99,12.42,797,129,81,16.19,62.79,"16,2%",42,Sachsen-Anhalt
1759,89.65,203,10.35,1962,446,210,22.73,47.09,"22,7%",99,Hessen
1643,86.66,253,13.34,1896,276,178,14.56,64.49,"14,6%",121,Niedersachsen
1310,88.99,162,11.01,1472,392,226,26.63,57.65,"26,6%",79,Sachsen
5125,89.85,579,10.15,5704,1099,654,19.27,59.51,"19,3%",320,Nordrhein-Westfalen
604,80.43,147,19.57,751,46,25,6.13,54.35,"6,1%",33,Schleswig-Holstein

