BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
491,81.16,114,18.84,605,4,3,0.66,75.0,"0,7%",34,Mecklenburg-Vorpommern
1199,81.95,264,18.05,1463,36,24,2.46,66.67,"2,5%",79,Sachsen
152,83.98,29,16.02,181,1,1,0.55,100.0,"0,6%",12,Bremen
550,84.49,101,15.51,651,17,12,2.61,70.59,"2,6%",36,Thüringen
915,85.2,159,14.8,1074,45,35,4.19,77.78,"4,2%",53,Berlin
552,75.93,175,24.07,727,11,8,1.51,72.73,"1,5%",32,Schleswig-Holstein
4636,84.41,856,15.59,5492,117,84,2.13,71.79,"2,1%",318,Nordrhein-Westfalen
1407,81.99,309,18.01,1716,10,8,0.58,80.0,"0,6%",119,Niedersachsen
499,79.08,132,20.92,631,5,2,0.79,40.0,"0,8%",49,Brandenburg
375,84.08,71,15.92,446,9,6,2.02,66.67,2%,17,Saarland
450,84.75,81,15.25,531,18,13,3.39,72.22,"3,4%",23,Hamburg
782,75.05,260,24.95,1042,13,9,1.25,69.23,"1,3%",77,Rheinland-Pfalz
650,86.9,98,13.1,748,12,9,1.6,75.0,"1,6%",42,Sachsen-Anhalt
1563,83.81,302,16.19,1865,81,43,4.34,53.09,"4,3%",97,Hessen
1943,83.39,387,16.61,2330,68,48,2.92,70.59,"2,9%",128,Baden-Württemberg
2700,83.59,530,16.41,3230,96,62,2.97,64.58,3%,208,Bayern

