BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
1612,83.18,326,16.82,1938,252,139,13.0,55.16,13%,121,Niedersachsen
500,80.26,123,19.74,623,74,36,11.88,48.65,"11,9%",34,Mecklenburg-Vorpommern
563,81.48,128,18.52,691,125,70,18.09,56.0,"18,1%",50,Brandenburg
484,87.05,72,12.95,556,91,56,16.37,61.54,"16,4%",24,Hamburg
2843,84.51,521,15.49,3364,577,337,17.15,58.41,"17,2%",208,Bayern
170,88.54,22,11.46,192,39,30,20.31,76.92,"20,3%",12,Bremen
5004,86.62,773,13.38,5777,723,358,12.52,49.52,"12,5%",320,Nordrhein-Westfalen
715,86.56,111,13.44,826,97,44,11.74,45.36,"11,7%",42,Sachsen-Anhalt
828,76.17,259,23.83,1087,118,61,10.86,51.69,"10,9%",77,Rheinland-Pfalz
1127,76.3,350,23.7,1477,277,168,18.75,60.65,"18,8%",78,Sachsen
572,75.96,181,24.04,753,54,30,7.17,55.56,"7,2%",33,Schleswig-Holstein
603,85.78,100,14.22,703,173,104,24.61,60.12,"24,6%",36,Thüringen
2061,84.99,364,15.01,2425,354,184,14.6,51.98,"14,6%",129,Baden-Württemberg
970,86.07,157,13.93,1127,222,160,19.7,72.07,"19,7%",53,Berlin
1655,85.13,289,14.87,1944,340,162,17.49,47.65,"17,5%",99,Hessen
378,85.14,66,14.86,444,50,23,11.26,46.0,"11,3%",17,Saarland

