BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
363,84.22,68,15.78,431,22,15,5.1,68.18,"5,1%",17,Saarland
503,78.35,139,21.65,642,59,41,9.19,69.49,"9,2%",36,Thüringen
2678,82.17,581,17.83,3259,305,183,9.36,60.0,"9,4%",208,Bayern
1551,84.2,291,15.8,1842,190,98,10.31,51.58,"10,3%",97,Hessen
1217,83.13,247,16.87,1464,164,109,11.2,66.46,"11,2%",79,Sachsen
4810,85.25,832,14.75,5642,360,257,6.38,71.39,"6,4%",320,Nordrhein-Westfalen
659,82.07,144,17.93,803,31,18,3.86,58.06,"3,9%",42,Sachsen-Anhalt
1514,81.01,355,18.99,1869,96,59,5.14,61.46,"5,1%",120,Niedersachsen
516,81.65,116,18.35,632,27,18,4.27,66.67,"4,3%",49,Brandenburg
1959,82.76,408,17.24,2367,253,157,10.69,62.06,"10,7%",128,Baden-Württemberg
504,83.58,99,16.42,603,22,12,3.65,54.55,"3,7%",33,Mecklenburg-Vorpommern
940,85.14,164,14.86,1104,118,83,10.69,70.34,"10,7%",53,Berlin
443,85.03,78,14.97,521,39,33,7.49,84.62,"7,5%",23,Hamburg
167,89.3,20,10.7,187,17,14,9.09,82.35,"9,1%",12,Bremen
544,73.71,194,26.29,738,18,15,2.44,83.33,"2,4%",32,Schleswig-Holstein
803,75.83,256,24.17,1059,68,35,6.42,51.47,"6,4%",77,Rheinland-Pfalz

