BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2315,75.48,752,24.52,3067,200,111,6.52,55.5,"24,5%",181,Baden-Württemberg
3061,72.95,1135,27.05,4196,184,83,4.39,45.11,"27,1%",259,Bayern
1086,87.65,153,12.35,1239,175,96,14.12,54.86,"12,4%",65,Berlin
566,69.02,254,30.98,820,45,19,5.49,42.22,31%,56,Brandenburg
177,79.73,45,20.27,222,20,13,9.01,65,"20,3%",14,Bremen
578,71.62,229,28.38,807,41,24,5.08,58.54,"28,4%",34,Hamburg
1757,81.76,392,18.24,2149,178,98,8.28,55.06,"18,2%",115,Hessen
565,75.84,180,24.16,745,17,6,2.28,35.29,"24,2%",39,Mecklenburg-Vorpommern
1764,70.84,726,29.16,2490,119,58,4.78,48.74,"29,2%",150,Niedersachsen
5359,78.03,1509,21.97,6868,531,288,7.73,54.24,22%,402,Nordrhein-Westfalen
920,65.2,491,34.8,1411,64,34,4.54,53.13,"34,8%",95,Rheinland-Pfalz
371,69.61,162,30.39,533,40,15,7.5,37.5,"30,4%",24,Saarland
1277,73.69,456,26.31,1733,166,54,9.58,32.53,"26,3%",95,Sachsen
730,72.13,282,27.87,1012,25,12,2.47,48,"27,9%",56,Sachsen-Anhalt
559,55.46,449,44.54,1008,18,8,1.79,44.44,"44,5%",39,Schleswig-Holstein
623,66.35,316,33.65,939,29,8,3.09,27.59,"33,7%",45,Thüringen
