BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2264,71.51,902,28.49,3166,111,60,3.51,54.05,"28,5%",181,Baden-Württemberg
3082,73.19,1129,26.81,4211,100,50,2.37,50,"26,8%",260,Bayern
1062,85.85,175,14.15,1237,101,48,8.16,47.52,"14,2%",65,Berlin
641,72.27,246,27.73,887,32,11,3.61,34.38,"27,7%",57,Brandenburg
186,78.15,52,21.85,238,16,7,6.72,43.75,"21,9%",14,Bremen
583,70.16,248,29.84,831,29,12,3.49,41.38,"29,8%",34,Hamburg
1747,79.45,452,20.55,2199,90,40,4.09,44.44,"20,6%",116,Hessen
542,70.57,226,29.43,768,10,3,1.3,30,"29,4%",39,Mecklenburg-Vorpommern
1705,66.19,871,33.81,2576,60,34,2.33,56.67,"33,8%",150,Niedersachsen
5199,75.23,1712,24.77,6911,281,127,4.07,45.2,"24,8%",400,Nordrhein-Westfalen
923,64.68,504,35.32,1427,45,17,3.15,37.78,"35,3%",95,Rheinland-Pfalz
378,69.87,163,30.13,541,28,7,5.18,25,"30,1%",24,Saarland
1219,69.94,524,30.06,1743,87,35,4.99,40.23,"30,1%",95,Sachsen
725,70.25,307,29.75,1032,12,5,1.16,41.67,"29,8%",56,Sachsen-Anhalt
611,59.55,415,40.45,1026,9,4,0.88,44.44,"40,5%",39,Schleswig-Holstein
627,69.59,274,30.41,901,22,4,2.44,18.18,"30,4%",44,Thüringen
