BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2243,74.42,771,25.58,3014,247,132,8.2,53.44,"25,6%",181,Baden-Württemberg
2981,73.01,1102,26.99,4083,269,137,6.59,50.93,27%,259,Bayern
1060,86.67,163,13.33,1223,208,121,17.01,58.17,"13,3%",65,Berlin
541,66.96,267,33.04,808,58,28,7.18,48.28,33%,56,Brandenburg
171,78.08,48,21.92,219,27,18,12.33,66.67,"21,9%",14,Bremen
568,71.36,228,28.64,796,49,30,6.16,61.22,"28,6%",34,Hamburg
1672,78.06,470,21.94,2142,207,115,9.66,55.56,"21,9%",115,Hessen
558,75.1,185,24.9,743,19,6,2.56,31.58,"24,9%",39,Mecklenburg-Vorpommern
1663,67.16,813,32.84,2476,127,68,5.13,53.54,"32,8%",150,Niedersachsen
5174,75.83,1649,24.17,6823,646,354,9.47,54.8,"24,2%",403,Nordrhein-Westfalen
906,64.81,492,35.19,1398,78,42,5.58,53.85,"35,2%",95,Rheinland-Pfalz
345,65.09,185,34.91,530,48,14,9.06,29.17,"34,9%",24,Saarland
1231,70.99,503,29.01,1734,202,73,11.65,36.14,29%,95,Sachsen
712,70.85,293,29.15,1005,23,13,2.29,56.52,"29,2%",56,Sachsen-Anhalt
568,64.33,315,35.67,883,21,12,2.38,57.14,"35,7%",39,Schleswig-Holstein
596,63.88,337,36.12,933,29,12,3.11,41.38,"36,1%",45,Thüringen
