BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
1759,85.02,310,14.98,2069,326,198,15.76,60.74,15%,118,Hessen
3205,79.29,837,20.71,4042,536,308,13.26,57.46,"20,7%",263,Bayern
587,81.75,131,18.25,718,87,58,12.12,66.67,"18,3%",34,Hamburg
903,70.27,382,29.73,1285,154,84,11.98,54.55,"29,7%",94,Rheinland-Pfalz
671,72.38,256,27.62,927,88,25,9.49,28.41,"27,6%",45,Thüringen
555,77.3,163,22.7,718,25,16,3.48,64,"22,7%",41,Mecklenburg-Vorpommern
589,75.61,190,24.39,779,76,45,9.76,59.21,"24,4%",57,Brandenburg
742,75.1,246,24.9,988,49,26,4.96,53.06,"24,9%",56,Sachsen-Anhalt
5352,80.81,1271,19.19,6623,935,560,14.12,59.89,"19,2%",402,Nordrhein-Westfalen
1269,77.24,374,22.76,1643,305,176,18.56,57.7,"22,8%",95,Sachsen
2400,79.42,622,20.58,3022,408,240,13.5,58.82,"20,6%",182,Baden-Württemberg
199,83.61,39,16.39,238,38,30,15.97,78.95,"16,4%",14,Bremen
1122,87.66,158,12.34,1280,311,201,24.3,64.63,"12,3%",64,Berlin
406,79.14,107,20.86,513,61,18,11.89,29.51,"20,9%",25,Saarland
1718,71.38,689,28.62,2407,194,109,8.06,56.19,"28,6%",152,Niedersachsen
598,70.19,254,29.81,852,25,12,2.93,48,"29,8%",39,Schleswig-Holstein
