BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2292,75.49,744,24.51,3036,345,202,11.36,58.55,"24,5%",181,Baden-Württemberg
3196,77.61,922,22.39,4118,443,247,10.76,55.76,"22,4%",261,Bayern
1137,87.8,158,12.2,1295,284,190,21.93,66.9,"12,2%",66,Berlin
569,72.21,219,27.79,788,69,38,8.76,55.07,"27,8%",56,Brandenburg
181,84.19,34,15.81,215,36,23,16.74,63.89,"15,8%",13,Bremen
595,80.3,146,19.7,741,76,41,10.26,53.95,"19,7%",34,Hamburg
1746,81.97,384,18.03,2130,273,147,12.82,53.85,18%,117,Hessen
558,76.75,169,23.25,727,23,12,3.16,52.17,"23,3%",41,Mecklenburg-Vorpommern
1707,69.36,754,30.64,2461,191,109,7.76,57.07,"30,6%",152,Niedersachsen
5315,79.58,1364,20.42,6679,857,536,12.83,62.54,"20,4%",402,Nordrhein-Westfalen
913,66.94,451,33.06,1364,119,61,8.72,51.26,"33,1%",95,Rheinland-Pfalz
363,68.49,167,31.51,530,61,18,11.51,29.51,"31,5%",24,Saarland
1276,75.59,412,24.41,1688,258,120,15.28,46.51,"24,4%",95,Sachsen
744,75.53,241,24.47,985,38,23,3.86,60.53,"24,5%",56,Sachsen-Anhalt
597,69.74,259,30.26,856,23,14,2.69,60.87,"30,3%",39,Schleswig-Holstein
635,68.87,287,31.13,922,54,17,5.86,31.48,"31,1%",45,Thüringen
