"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.68,21.32,SCHLESWIG_HOLSTEIN,11.76,91,52,57.14,609,165,774,479,39
81.96,18.04,HAMBURG,11.0,75,45,60.0,559,123,682,320,34
82.27,17.73,NIEDERSACHSEN,11.31,252,145,57.54,1833,395,2228,1014,153
86.34,13.66,BREMEN,15.42,35,26,74.29,196,31,227,135,14
85.36,14.64,NORDRHEIN_WESTFALEN,12.17,789,434,55.01,5533,949,6482,2534,406
88.44,11.56,HESSEN,18.52,391,183,46.8,1867,244,2111,818,117
78.8,21.2,RHEINLAND_PFALZ,15.19,182,86,47.25,944,254,1198,441,94
85.76,14.24,BADEN_WUERTTEMBERG,12.12,349,216,61.89,2469,410,2879,1365,183
85.08,14.92,BAYERN,16.22,623,347,55.7,3267,573,3840,1130,269
84.78,15.22,SAARLAND,15.8,82,38,46.34,440,79,519,245,24
84.22,15.78,BERLIN,24.84,318,230,72.33,1078,202,1280,380,64
79.6,20.4,BRANDENBURG,20.93,158,79,50.0,601,154,755,339,56
80.67,19.33,MECKLENBURG_VORPOMMERN,11.76,84,36,42.86,576,138,714,240,42
74.64,25.36,SACHSEN,20.16,326,175,53.68,1207,410,1617,637,94
87.32,12.68,SACHSEN_ANHALT,16.32,148,86,58.11,792,115,907,359,55
85.45,14.55,THUERINGEN,21.83,174,93,53.45,681,116,797,346,45
