bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,3.07,2020-11-05T21:00:05Z,27,10,37.04,599,281,880,430,39
HAMBURG,7.52,2020-11-05T21:00:05Z,57,36,63.16,594,164,758,336,34
NIEDERSACHSEN,5.76,2020-11-05T21:00:05Z,144,79,54.86,1698,800,2498,1001,151
BREMEN,12.08,2020-11-05T21:00:05Z,29,18,62.07,193,47,240,138,14
NORDRHEIN_WESTFALEN,11.09,2020-11-05T21:00:05Z,749,447,59.68,5308,1446,6754,2737,402
HESSEN,11.42,2020-11-05T21:00:05Z,245,122,49.8,1745,401,2146,966,118
RHEINLAND_PFALZ,6.43,2020-11-05T21:00:05Z,88,56,63.64,894,474,1368,504,95
BADEN_WUERTTEMBERG,9.75,2020-11-05T21:00:05Z,297,155,52.19,2296,749,3045,1683,181
BAYERN,8.38,2020-11-05T21:00:05Z,337,170,50.45,3062,959,4021,1927,258
SAARLAND,9.6,2020-11-05T21:00:05Z,51,16,31.37,354,177,531,227,24
BERLIN,19.37,2020-11-05T21:00:05Z,240,156,65.0,1073,166,1239,441,65
BRANDENBURG,7.94,2020-11-05T21:00:05Z,65,34,52.31,616,203,819,421,56
MECKLENBURG_VORPOMMERN,2.83,2020-11-05T21:00:05Z,24,9,37.5,665,183,848,270,42
SACHSEN,14.36,2020-11-05T21:00:05Z,242,91,37.6,1319,366,1685,712,95
SACHSEN_ANHALT,2.62,2020-11-05T21:00:05Z,26,14,53.85,733,261,994,470,56
THUERINGEN,5.19,2020-11-05T21:00:05Z,48,16,33.33,658,267,925,454,45
