bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,3.07,2020-11-06T19:00:05Z,27,10,37.04,578,301,879,430,39
HAMBURG,7.94,2020-11-06T19:00:05Z,59,32,54.24,594,149,743,346,34
NIEDERSACHSEN,6.35,2020-11-06T19:00:05Z,156,93,59.62,1717,741,2458,985,150
BREMEN,12.08,2020-11-06T19:00:05Z,29,17,58.62,197,43,240,138,14
NORDRHEIN_WESTFALEN,11.74,2020-11-06T19:00:05Z,784,460,58.67,5266,1413,6679,2643,402
HESSEN,11.92,2020-11-06T19:00:05Z,255,127,49.8,1717,423,2140,958,118
RHEINLAND_PFALZ,6.4,2020-11-06T19:00:05Z,87,58,66.67,892,467,1359,477,95
BADEN_WUERTTEMBERG,9.95,2020-11-06T19:00:05Z,303,152,50.17,2290,754,3044,1586,181
BAYERN,8.91,2020-11-06T19:00:05Z,358,172,48.04,3019,1000,4019,1938,261
SAARLAND,9.94,2020-11-06T19:00:05Z,53,16,30.19,360,173,533,228,24
BERLIN,17.97,2020-11-06T19:00:05Z,242,150,61.98,1065,282,1347,441,65
BRANDENBURG,8.02,2020-11-06T19:00:05Z,64,38,59.38,576,222,798,421,56
MECKLENBURG_VORPOMMERN,2.36,2020-11-06T19:00:05Z,20,9,45.0,667,182,849,261,42
SACHSEN,14.74,2020-11-06T19:00:05Z,247,90,36.44,1301,375,1676,716,95
SACHSEN_ANHALT,2.93,2020-11-06T19:00:05Z,29,14,48.28,712,279,991,466,56
THUERINGEN,5.61,2020-11-06T19:00:05Z,52,17,32.69,646,281,927,460,45
