"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.77,25.23,SCHLESWIG_HOLSTEIN,7.98,2020-12-30T17:19:11Z,62,30,48.39,581,196,777,460,39
79.25,20.75,HAMBURG,17.78,2020-12-30T17:19:11Z,114,72,63.16,508,133,641,347,34
77.46,22.54,NIEDERSACHSEN,11.11,2020-12-30T17:19:11Z,240,122,50.83,1674,487,2161,1071,152
84.09,15.91,BREMEN,15.0,2020-12-30T17:19:11Z,33,19,57.58,185,35,220,144,14
84.31,15.69,NORDRHEIN_WESTFALEN,18.04,2020-12-30T17:19:11Z,1159,633,54.62,5415,1008,6423,2525,406
85.67,14.33,HESSEN,24.27,2020-12-30T17:19:11Z,496,264,53.23,1751,293,2044,842,117
73.76,26.24,RHEINLAND_PFALZ,19.07,2020-12-30T17:19:11Z,226,114,50.44,874,311,1185,452,94
83.26,16.74,BADEN_WUERTTEMBERG,22.04,2020-12-30T17:19:11Z,628,364,57.96,2372,477,2849,1382,183
84.94,15.06,BAYERN,23.49,2020-12-30T17:19:11Z,897,495,55.18,3243,575,3818,1161,270
81.33,18.67,SAARLAND,18.27,2020-12-30T17:19:11Z,91,43,47.25,405,93,498,248,25
88.72,11.28,BERLIN,33.99,2020-12-30T17:19:11Z,434,285,65.67,1133,144,1277,390,64
82.39,17.61,BRANDENBURG,31.32,2020-12-30T17:19:11Z,233,111,47.64,613,131,744,348,55
75.0,25.0,MECKLENBURG_VORPOMMERN,11.01,2020-12-30T17:19:11Z,81,29,35.8,552,184,736,236,42
81.98,18.02,SACHSEN,35.37,2020-12-30T17:19:11Z,573,284,49.56,1328,292,1620,618,94
80.53,19.47,SACHSEN_ANHALT,19.14,2020-12-30T17:19:11Z,174,96,55.17,732,177,909,347,56
80.71,19.29,THUERINGEN,26.78,2020-12-30T17:19:11Z,211,107,50.71,636,152,788,357,45
