bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,3.07,2020-11-07T21:00:05Z,27,10,37.04,559,321,880,432,39
HAMBURG,8.65,2020-11-07T21:00:05Z,64,32,50.0,585,155,740,354,34
NIEDERSACHSEN,6.66,2020-11-07T21:00:05Z,163,97,59.51,1743,703,2446,997,150
BREMEN,13.39,2020-11-07T21:00:05Z,30,19,63.33,187,37,224,140,14
NORDRHEIN_WESTFALEN,12.32,2020-11-07T21:00:05Z,817,482,59.0,5216,1414,6630,2639,402
HESSEN,11.75,2020-11-07T21:00:05Z,251,131,52.19,1671,466,2137,959,118
RHEINLAND_PFALZ,6.54,2020-11-07T21:00:05Z,89,55,61.8,889,472,1361,474,95
BADEN_WUERTTEMBERG,10.4,2020-11-07T21:00:05Z,315,174,55.24,2268,760,3028,1585,181
BAYERN,8.87,2020-11-07T21:00:05Z,359,179,49.86,2973,1076,4049,1946,261
SAARLAND,9.19,2020-11-07T21:00:05Z,49,21,42.86,362,171,533,228,24
BERLIN,20.31,2020-11-07T21:00:05Z,252,163,64.68,1081,160,1241,441,65
BRANDENBURG,8.1,2020-11-07T21:00:05Z,64,40,62.5,566,224,790,424,56
MECKLENBURG_VORPOMMERN,2.76,2020-11-07T21:00:05Z,23,8,34.78,636,197,833,260,42
SACHSEN,15.59,2020-11-07T21:00:05Z,260,103,39.62,1262,406,1668,716,95
SACHSEN_ANHALT,3.3,2020-11-07T21:00:05Z,32,13,40.63,706,265,971,468,56
THUERINGEN,5.82,2020-11-07T21:00:05Z,54,15,27.78,624,304,928,461,45
