"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.8,27.2,SCHLESWIG_HOLSTEIN,8.42,2020-12-31T17:19:07Z,65,29,44.62,562,210,772,460,39
79.34,20.66,HAMBURG,17.84,2020-12-31T17:19:07Z,114,73,64.04,507,132,639,347,34
76.12,23.88,NIEDERSACHSEN,11.59,2020-12-31T17:19:07Z,251,129,51.39,1648,517,2165,1064,152
80.0,20.0,BREMEN,14.76,2020-12-31T17:19:07Z,31,20,64.52,168,42,210,146,14
83.56,16.44,NORDRHEIN_WESTFALEN,18.33,2020-12-31T17:19:07Z,1169,639,54.66,5328,1048,6376,2520,406
85.35,14.65,HESSEN,24.55,2020-12-31T17:19:07Z,501,274,54.69,1742,299,2041,836,117
75.08,24.92,RHEINLAND_PFALZ,18.56,2020-12-31T17:19:07Z,219,116,52.97,886,294,1180,446,94
83.21,16.79,BADEN_WUERTTEMBERG,21.44,2020-12-31T17:19:07Z,609,367,60.26,2364,477,2841,1387,183
84.91,15.09,BAYERN,23.05,2020-12-31T17:19:07Z,877,490,55.87,3231,574,3805,1157,270
77.64,22.36,SAARLAND,17.48,2020-12-31T17:19:07Z,86,38,44.19,382,110,492,252,25
88.58,11.42,BERLIN,34.02,2020-12-31T17:19:07Z,432,287,66.44,1125,145,1270,382,64
82.73,17.27,BRANDENBURG,31.31,2020-12-31T17:19:07Z,232,119,51.29,613,128,741,340,55
75.41,24.59,MECKLENBURG_VORPOMMERN,11.14,2020-12-31T17:19:07Z,82,35,42.68,555,181,736,229,42
81.14,18.86,SACHSEN,35.84,2020-12-31T17:19:07Z,576,288,50.0,1304,303,1607,622,94
80.93,19.07,SACHSEN_ANHALT,20.18,2020-12-31T17:19:07Z,183,104,56.83,734,173,907,352,56
80.79,19.21,THUERINGEN,27.53,2020-12-31T17:19:07Z,215,113,52.56,631,150,781,358,45
