"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.21,22.79,SCHLESWIG_HOLSTEIN,10.5,82,49,59.76,603,178,781,476,39
79.82,20.18,HAMBURG,11.87,80,45,56.25,538,136,674,333,34
80.46,19.54,NIEDERSACHSEN,11.25,247,138,55.87,1766,429,2195,1019,153
86.94,13.06,BREMEN,14.86,33,23,69.7,193,29,222,135,14
84.13,15.87,NORDRHEIN_WESTFALEN,12.16,785,417,53.12,5432,1025,6457,2526,405
86.63,13.37,HESSEN,18.33,388,204,52.58,1834,283,2117,824,117
75.06,24.94,RHEINLAND_PFALZ,13.14,157,80,50.96,897,298,1195,446,94
81.62,18.38,BADEN_WUERTTEMBERG,11.87,339,200,59.0,2332,525,2857,1381,183
82.54,17.46,BAYERN,16.39,628,340,54.14,3163,669,3832,1125,269
83.37,16.63,SAARLAND,16.25,84,42,50.0,431,86,517,241,24
85.28,14.72,BERLIN,24.02,305,207,67.87,1083,187,1270,378,64
77.7,22.3,BRANDENBURG,19.23,144,76,52.78,582,167,749,339,56
74.18,25.82,MECKLENBURG_VORPOMMERN,10.5,74,33,44.59,523,182,705,244,42
72.39,27.61,SACHSEN,19.09,307,177,57.65,1164,444,1608,643,94
85.98,14.02,SACHSEN_ANHALT,16.57,149,84,56.38,773,126,899,356,55
83.52,16.48,THUERINGEN,20.18,158,87,55.06,654,129,783,347,45
