bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.68,2020-10-19T16:00:05Z,7,4,57.14,593,443,1036,298,39
HAMBURG,2.53,2020-10-19T16:00:05Z,21,13,61.9,555,276,831,298,34
NIEDERSACHSEN,1.92,2020-10-19T16:00:05Z,50,30,60.0,1682,927,2609,947,151
BREMEN,5.74,2020-10-19T16:00:05Z,12,4,33.33,161,48,209,150,13
NORDRHEIN_WESTFALEN,3.44,2020-10-19T16:00:05Z,246,106,43.09,5082,2079,7161,2606,405
HESSEN,3.59,2020-10-19T16:00:05Z,81,40,49.38,1670,586,2256,990,116
RHEINLAND_PFALZ,2.36,2020-10-19T16:00:05Z,34,17,50.0,871,569,1440,523,95
BADEN_WUERTTEMBERG,2.89,2020-10-19T16:00:05Z,93,47,50.54,2205,1011,3216,1666,181
BAYERN,2.19,2020-10-19T16:00:05Z,92,45,48.91,2930,1277,4207,1984,257
SAARLAND,3.19,2020-10-19T16:00:05Z,18,6,33.33,352,213,565,229,24
BERLIN,6.82,2020-10-19T16:00:05Z,84,38,45.24,1009,223,1232,451,65
BRANDENBURG,2.47,2020-10-19T16:00:05Z,22,5,22.73,575,316,891,430,56
MECKLENBURG_VORPOMMERN,0.64,2020-10-19T16:00:05Z,5,2,40.0,546,241,787,301,39
SACHSEN,2.97,2020-10-19T16:00:05Z,53,24,45.28,1163,623,1786,703,95
SACHSEN_ANHALT,1.62,2020-10-19T16:00:05Z,17,5,29.41,713,337,1050,400,56
THUERINGEN,2.13,2020-10-19T16:00:05Z,19,2,10.53,605,287,892,418,44
