"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
69.78,30.22,SCHLESWIG_HOLSTEIN,6.74,2020-12-25T17:19:07Z,52,26,50.0,538,233,771,436,39
76.24,23.76,HAMBURG,18.01,2020-12-25T17:19:07Z,116,74,63.79,491,153,644,347,34
75.01,24.99,NIEDERSACHSEN,11.03,2020-12-25T17:19:07Z,238,118,49.58,1618,539,2157,1077,152
76.39,23.61,BREMEN,16.2,2020-12-25T17:19:07Z,35,21,60.0,165,51,216,145,14
82.44,17.56,NORDRHEIN_WESTFALEN,17.42,2020-12-25T17:19:07Z,1108,629,56.77,5244,1117,6361,2525,405
82.81,17.19,HESSEN,23.54,2020-12-25T17:19:07Z,482,246,51.04,1696,352,2048,863,117
74.46,25.54,RHEINLAND_PFALZ,19.63,2020-12-25T17:19:07Z,236,98,41.53,895,307,1202,444,94
81.32,18.68,BADEN_WUERTTEMBERG,22.44,2020-12-25T17:19:07Z,627,333,53.11,2272,522,2794,1389,181
81.72,18.28,BAYERN,21.62,2020-12-25T17:19:07Z,822,470,57.18,3107,695,3802,1218,270
77.92,22.08,SAARLAND,17.2,2020-12-25T17:19:07Z,81,36,44.44,367,104,471,267,25
84.95,15.05,BERLIN,31.5,2020-12-25T17:19:07Z,402,255,63.43,1084,192,1276,386,64
77.97,22.03,BRANDENBURG,29.95,2020-12-25T17:19:07Z,227,88,38.77,591,167,758,353,56
72.98,27.02,MECKLENBURG_VORPOMMERN,7.13,2020-12-25T17:19:07Z,52,21,40.38,532,197,729,239,42
80.49,19.51,SACHSEN,35.68,2020-12-25T17:19:07Z,567,263,46.38,1279,310,1589,633,94
77.97,22.03,SACHSEN_ANHALT,16.25,2020-12-25T17:19:07Z,149,77,51.68,715,202,917,354,56
76.77,23.23,THUERINGEN,23.48,2020-12-25T17:19:07Z,186,98,52.69,608,184,792,363,45
