bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.76,2020-11-10T22:00:05Z,24,13,54.17,586,285,871,431,39
HAMBURG,9.99,2020-11-10T22:00:05Z,74,42,56.76,578,163,741,342,34
NIEDERSACHSEN,7.3,2020-11-10T22:00:05Z,180,104,57.78,1678,789,2467,986,152
BREMEN,15.0,2020-11-10T22:00:05Z,33,22,66.67,167,53,220,133,13
NORDRHEIN_WESTFALEN,12.6,2020-11-10T22:00:05Z,840,524,62.38,5303,1363,6666,2643,402
HESSEN,12.85,2020-11-10T22:00:05Z,274,145,52.92,1714,419,2133,948,117
RHEINLAND_PFALZ,7.54,2020-11-10T22:00:05Z,103,61,59.22,889,477,1366,477,95
BADEN_WUERTTEMBERG,11.58,2020-11-10T22:00:05Z,352,195,55.4,2292,747,3039,1568,181
BAYERN,10.05,2020-11-10T22:00:05Z,411,226,54.99,3152,938,4090,1889,261
SAARLAND,11.15,2020-11-10T22:00:05Z,59,21,35.59,370,159,529,231,24
BERLIN,21.5,2020-11-10T22:00:05Z,270,181,67.04,1088,168,1256,440,65
BRANDENBURG,8.59,2020-11-10T22:00:05Z,68,37,54.41,586,206,792,432,56
MECKLENBURG_VORPOMMERN,2.48,2020-11-10T22:00:05Z,18,11,61.11,553,173,726,260,41
SACHSEN,15.98,2020-11-10T22:00:05Z,270,119,44.07,1301,389,1690,698,95
SACHSEN_ANHALT,3.44,2020-11-10T22:00:05Z,34,15,44.12,733,256,989,466,56
THUERINGEN,5.87,2020-11-10T22:00:05Z,54,16,29.63,621,299,920,461,45
