bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.58,2020-10-21T20:00:05Z,6,5,83.33,615,415,1030,308,39
HAMBURG,3.25,2020-10-21T20:00:05Z,27,12,44.44,579,252,831,298,34
NIEDERSACHSEN,2.01,2020-10-21T20:00:05Z,52,31,59.62,1717,870,2587,944,150
BREMEN,5.88,2020-10-21T20:00:05Z,14,5,35.71,181,57,238,138,14
NORDRHEIN_WESTFALEN,3.68,2020-10-21T20:00:05Z,256,112,43.75,5140,1820,6960,2634,398
HESSEN,3.99,2020-10-21T20:00:05Z,89,35,39.33,1737,495,2232,996,116
RHEINLAND_PFALZ,2.92,2020-10-21T20:00:05Z,42,19,45.24,919,518,1437,528,95
BADEN_WUERTTEMBERG,3.04,2020-10-21T20:00:05Z,97,52,53.61,2270,923,3193,1681,181
BAYERN,2.39,2020-10-21T20:00:05Z,101,49,48.51,3065,1153,4218,1988,260
SAARLAND,3.78,2020-10-21T20:00:05Z,21,7,33.33,377,179,556,232,24
BERLIN,7.59,2020-10-21T20:00:05Z,94,44,46.81,1056,183,1239,454,65
BRANDENBURG,3.08,2020-10-21T20:00:05Z,27,13,48.15,607,271,878,433,56
MECKLENBURG_VORPOMMERN,0.78,2020-10-21T20:00:05Z,6,3,50.0,555,214,769,310,39
SACHSEN,4.84,2020-10-21T20:00:05Z,85,30,35.29,1217,540,1757,720,95
SACHSEN_ANHALT,0.96,2020-10-21T20:00:05Z,10,5,50.0,735,305,1040,448,56
THUERINGEN,2.12,2020-10-21T20:00:05Z,19,4,21.05,644,254,898,431,44
