bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.08,2020-10-26T19:00:05Z,11,4,36.36,587,436,1023,304,39
HAMBURG,3.63,2020-10-26T19:00:05Z,30,10,33.33,550,277,827,301,34
NIEDERSACHSEN,3.52,2020-10-26T19:00:05Z,89,43,48.31,1708,817,2525,970,151
BREMEN,9.33,2020-10-26T19:00:05Z,21,9,42.86,183,42,225,141,14
NORDRHEIN_WESTFALEN,5.5,2020-10-26T19:00:05Z,379,190,50.13,5148,1741,6889,2782,401
HESSEN,6.32,2020-10-26T19:00:05Z,137,58,42.34,1717,452,2169,1006,116
RHEINLAND_PFALZ,3.84,2020-10-26T19:00:05Z,54,24,44.44,878,529,1407,529,95
BADEN_WUERTTEMBERG,4.55,2020-10-26T19:00:05Z,142,78,54.93,2240,879,3119,1719,181
BAYERN,2.95,2020-10-26T19:00:05Z,124,62,50.0,3029,1175,4204,1896,260
SAARLAND,4.73,2020-10-26T19:00:05Z,25,9,36.0,349,180,529,241,24
BERLIN,10.17,2020-10-26T19:00:05Z,126,66,52.38,1045,194,1239,460,65
BRANDENBURG,4.09,2020-10-26T19:00:05Z,34,6,17.65,580,252,832,396,56
MECKLENBURG_VORPOMMERN,1.19,2020-10-26T19:00:05Z,9,5,55.56,547,212,759,305,39
SACHSEN,8.08,2020-10-26T19:00:05Z,142,43,30.28,1214,543,1757,727,95
SACHSEN_ANHALT,2.07,2020-10-26T19:00:05Z,21,10,47.62,713,301,1014,472,56
THUERINGEN,3.1,2020-10-26T19:00:05Z,28,6,21.43,579,323,902,418,44
