"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.29,21.71,SCHLESWIG_HOLSTEIN,66,10.47,82,54,65.85,613,170,783,477,39
78.52,21.48,HAMBURG,60,10.16,70,38,54.29,541,148,689,319,34
82.2,17.8,NIEDERSACHSEN,165,10.66,236,128,54.24,1819,394,2213,1009,153
91.28,8.72,BREMEN,15,15.6,34,18,52.94,199,19,218,140,14
84.27,15.73,NORDRHEIN_WESTFALEN,465,11.11,719,408,56.75,5452,1018,6470,2506,406
86.04,13.96,HESSEN,126,17.01,357,188,52.66,1806,293,2099,829,117
79.14,20.86,RHEINLAND_PFALZ,113,12.3,148,74,50.0,952,251,1203,447,94
84.17,15.83,BADEN_WUERTTEMBERG,281,10.63,306,176,57.52,2424,456,2880,1369,183
84.35,15.65,BAYERN,335,15.03,578,303,52.42,3244,602,3846,1131,269
82.68,17.32,SAARLAND,49,11.87,61,33,54.1,425,89,514,248,24
86.03,13.97,BERLIN,87,22.48,288,208,72.22,1102,179,1281,383,64
77.81,22.19,BRANDENBURG,97,18.97,147,79,53.74,603,172,775,342,57
80.43,19.57,MECKLENBURG_VORPOMMERN,55,10.5,74,31,41.89,567,138,705,242,42
75.0,25.0,SACHSEN,143,17.28,280,155,55.36,1215,405,1620,644,94
84.77,15.23,SACHSEN_ANHALT,62,15.23,136,79,58.09,757,136,893,356,55
85.42,14.58,THUERINGEN,61,19.05,149,79,53.02,668,114,782,350,45
