bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.88,2020-10-22T19:00:05Z,9,4,44.44,611,415,1026,307,39
HAMBURG,3.49,2020-10-22T19:00:05Z,29,12,41.38,583,248,831,298,34
NIEDERSACHSEN,2.33,2020-10-22T19:00:05Z,60,34,56.67,1705,871,2576,952,150
BREMEN,6.72,2020-10-22T19:00:05Z,16,7,43.75,186,52,238,138,14
NORDRHEIN_WESTFALEN,4.07,2020-10-22T19:00:05Z,281,127,45.2,5199,1712,6911,2753,400
HESSEN,4.09,2020-10-22T19:00:05Z,90,40,44.44,1747,452,2199,1020,116
RHEINLAND_PFALZ,3.15,2020-10-22T19:00:05Z,45,17,37.78,923,504,1427,518,95
BADEN_WUERTTEMBERG,3.51,2020-10-22T19:00:05Z,111,60,54.05,2264,902,3166,1706,181
BAYERN,2.37,2020-10-22T19:00:05Z,100,50,50.0,3082,1129,4211,1977,260
SAARLAND,5.18,2020-10-22T19:00:05Z,28,7,25.0,378,163,541,232,24
BERLIN,8.16,2020-10-22T19:00:05Z,101,48,47.52,1062,175,1237,460,65
BRANDENBURG,3.61,2020-10-22T19:00:05Z,32,11,34.38,641,246,887,414,57
MECKLENBURG_VORPOMMERN,1.3,2020-10-22T19:00:05Z,10,3,30.0,542,226,768,309,39
SACHSEN,4.99,2020-10-22T19:00:05Z,87,35,40.23,1219,524,1743,732,95
SACHSEN_ANHALT,1.16,2020-10-22T19:00:05Z,12,5,41.67,725,307,1032,454,56
THUERINGEN,2.44,2020-10-22T19:00:05Z,22,4,18.18,627,274,901,427,44
