bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.08,2020-10-25T22:00:05Z,11,5,45.45,570,447,1017,306,39
HAMBURG,3.28,2020-10-25T22:00:05Z,27,11,40.74,551,272,823,301,34
NIEDERSACHSEN,3.08,2020-10-25T22:00:05Z,78,36,46.15,1728,801,2529,956,151
BREMEN,8.04,2020-10-25T22:00:05Z,18,10,55.56,180,44,224,142,14
NORDRHEIN_WESTFALEN,5.32,2020-10-25T22:00:05Z,362,172,47.51,5070,1730,6800,2766,400
HESSEN,5.99,2020-10-25T22:00:05Z,129,56,43.41,1707,448,2155,1018,116
RHEINLAND_PFALZ,3.77,2020-10-25T22:00:05Z,53,24,45.28,857,547,1404,523,95
BADEN_WUERTTEMBERG,4.58,2020-10-25T22:00:05Z,143,75,52.45,2244,880,3124,1710,181
BAYERN,2.94,2020-10-25T22:00:05Z,123,59,47.97,2980,1209,4189,1962,260
SAARLAND,5.11,2020-10-25T22:00:05Z,27,8,29.63,354,174,528,237,24
BERLIN,10.11,2020-10-25T22:00:05Z,124,65,52.42,1026,201,1227,466,65
BRANDENBURG,3.57,2020-10-25T22:00:05Z,31,8,25.81,588,281,869,419,57
MECKLENBURG_VORPOMMERN,1.45,2020-10-25T22:00:05Z,11,5,45.45,537,222,759,298,39
SACHSEN,6.97,2020-10-25T22:00:05Z,121,38,31.4,1211,524,1735,724,95
SACHSEN_ANHALT,1.89,2020-10-25T22:00:05Z,19,7,36.84,710,294,1004,470,55
THUERINGEN,3.01,2020-10-25T22:00:05Z,27,5,18.52,565,331,896,420,44
