bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.48,2020-10-10T21:00:05Z,5,4,80.0,569,463,1032,298,39
HAMBURG,1.81,2020-10-10T21:00:05Z,15,8,53.33,572,259,831,300,34
NIEDERSACHSEN,1.33,2020-10-10T21:00:05Z,35,16,45.71,1730,893,2623,976,149
BREMEN,1.67,2020-10-10T21:00:05Z,4,3,75.0,165,75,240,158,14
NORDRHEIN_WESTFALEN,2.44,2020-10-10T21:00:05Z,175,88,50.29,5305,1856,7161,2527,405
HESSEN,2.0,2020-10-10T21:00:05Z,45,25,55.56,1716,534,2250,980,115
RHEINLAND_PFALZ,1.31,2020-10-10T21:00:05Z,19,8,42.11,922,531,1453,513,95
BADEN_WUERTTEMBERG,1.85,2020-10-10T21:00:05Z,60,31,51.67,2273,964,3237,1527,181
BAYERN,1.55,2020-10-10T21:00:05Z,66,46,69.7,3058,1200,4258,2001,256
SAARLAND,1.59,2020-10-10T21:00:05Z,9,3,33.33,385,181,566,223,23
BERLIN,3.6,2020-10-10T21:00:05Z,44,20,45.45,1028,195,1223,445,65
BRANDENBURG,0.71,2020-10-10T21:00:05Z,6,3,50.0,592,250,842,416,56
MECKLENBURG_VORPOMMERN,0.62,2020-10-10T21:00:05Z,5,4,80.0,576,228,804,299,39
SACHSEN,1.51,2020-10-10T21:00:05Z,27,13,48.15,1169,619,1788,707,95
SACHSEN_ANHALT,0.85,2020-10-10T21:00:05Z,9,6,66.67,742,314,1056,367,56
THUERINGEN,0.99,2020-10-10T21:00:05Z,9,2,22.22,615,297,912,420,44
