bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.08,2020-11-01T01:00:05Z,21,10,47.62,568,440,1008,317,39
HAMBURG,5.33,2020-11-01T01:00:05Z,43,24,55.81,564,243,807,306,34
NIEDERSACHSEN,5.04,2020-11-01T01:00:05Z,125,61,48.8,1684,796,2480,980,150
BREMEN,11.37,2020-11-01T01:00:05Z,24,15,62.5,175,36,211,142,14
NORDRHEIN_WESTFALEN,8.6,2020-11-01T01:00:05Z,587,321,54.68,5257,1568,6825,2793,402
HESSEN,8.73,2020-11-01T01:00:05Z,185,99,53.51,1729,391,2120,1020,115
RHEINLAND_PFALZ,4.92,2020-11-01T01:00:05Z,69,35,50.72,920,483,1403,529,95
BADEN_WUERTTEMBERG,7.24,2020-11-01T01:00:05Z,217,116,53.46,2251,745,2996,1729,179
BAYERN,4.9,2020-11-01T01:00:05Z,204,104,50.98,2981,1183,4164,1902,259
SAARLAND,6.77,2020-11-01T01:00:05Z,36,14,38.89,371,161,532,239,24
BERLIN,14.37,2020-11-01T01:00:05Z,177,108,61.02,1054,178,1232,461,65
BRANDENBURG,5.06,2020-11-01T01:00:05Z,41,17,41.46,569,242,811,430,56
MECKLENBURG_VORPOMMERN,2.03,2020-11-01T01:00:05Z,15,7,46.67,565,173,738,308,39
SACHSEN,10.19,2020-11-01T01:00:05Z,175,58,33.14,1258,460,1718,716,95
SACHSEN_ANHALT,2.07,2020-11-01T01:00:05Z,21,12,57.14,723,290,1013,467,56
THUERINGEN,2.57,2020-11-01T01:00:05Z,24,10,41.67,586,349,935,457,45
