"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.79,21.21,SCHLESWIG_HOLSTEIN,11.7,91,55,60.44,613,165,778,479,39
84.67,15.33,HAMBURG,11.39,78,47,60.26,580,105,685,322,34
82.29,17.71,NIEDERSACHSEN,11.99,268,145,54.1,1840,396,2236,1022,153
85.84,14.16,BREMEN,17.81,39,24,61.54,188,31,219,138,14
86.13,13.87,NORDRHEIN_WESTFALEN,12.24,796,429,53.89,5600,902,6502,2528,406
86.57,13.43,HESSEN,17.86,379,185,48.81,1837,285,2122,823,117
79.57,20.43,RHEINLAND_PFALZ,14.43,173,90,52.02,954,245,1199,437,94
85.13,14.87,BADEN_WUERTTEMBERG,12.71,365,222,60.82,2444,427,2871,1365,183
85.77,14.23,BAYERN,17.34,669,353,52.77,3310,549,3859,1120,269
87.23,12.77,SAARLAND,17.41,90,43,47.78,451,66,517,240,24
87.36,12.64,BERLIN,26.59,343,243,70.85,1127,163,1290,380,64
79.71,20.29,BRANDENBURG,21.47,164,75,45.73,609,155,764,334,56
80.2,19.8,MECKLENBURG_VORPOMMERN,11.44,82,39,47.56,575,142,717,238,42
74.74,25.26,SACHSEN,20.8,336,179,53.27,1207,408,1615,633,94
88.64,11.36,SACHSEN_ANHALT,17.75,161,98,60.87,804,103,907,359,55
85.18,14.82,THUERINGEN,22.42,180,90,50.0,684,119,803,349,45
