bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.27,2020-10-27T20:00:05Z,13,7,53.85,611,412,1023,302,39
HAMBURG,4.13,2020-10-27T20:00:05Z,34,15,44.12,583,240,823,298,34
NIEDERSACHSEN,3.89,2020-10-27T20:00:05Z,98,44,44.9,1768,754,2522,974,151
BREMEN,9.48,2020-10-27T20:00:05Z,22,10,45.45,189,43,232,141,14
NORDRHEIN_WESTFALEN,6.06,2020-10-27T20:00:05Z,417,214,51.32,5275,1604,6879,2795,401
HESSEN,6.4,2020-10-27T20:00:05Z,139,68,48.92,1772,400,2172,1023,116
RHEINLAND_PFALZ,3.9,2020-10-27T20:00:05Z,55,27,49.09,923,486,1409,530,95
BADEN_WUERTTEMBERG,5.03,2020-10-27T20:00:05Z,157,85,54.14,2310,812,3122,1728,181
BAYERN,3.15,2020-10-27T20:00:05Z,132,59,44.7,3124,1072,4196,1918,260
SAARLAND,6.42,2020-10-27T20:00:05Z,34,11,32.35,362,168,530,238,24
BERLIN,11.35,2020-10-27T20:00:05Z,141,77,54.61,1066,176,1242,458,65
BRANDENBURG,3.87,2020-10-27T20:00:05Z,32,9,28.13,604,223,827,431,56
MECKLENBURG_VORPOMMERN,1.47,2020-10-27T20:00:05Z,11,6,54.55,555,194,749,310,39
SACHSEN,8.16,2020-10-27T20:00:05Z,143,44,30.77,1271,482,1753,723,95
SACHSEN_ANHALT,1.98,2020-10-27T20:00:05Z,20,13,65.0,720,290,1010,472,56
THUERINGEN,3.0,2020-10-27T20:00:05Z,27,6,22.22,604,297,901,422,45
