"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.52,22.48,SCHLESWIG_HOLSTEIN,59,10.73,84,54,64.29,607,176,783,476,39
79.8,20.2,HAMBURG,62,9.81,68,36,52.94,553,140,693,319,34
82.99,17.01,NIEDERSACHSEN,170,10.77,240,129,53.75,1849,379,2228,1005,153
90.13,9.87,BREMEN,17,15.7,35,18,51.43,201,22,223,140,14
84.57,15.43,NORDRHEIN_WESTFALEN,472,11.22,727,402,55.3,5482,1000,6482,2497,406
86.72,13.28,HESSEN,112,17.78,375,198,52.8,1829,280,2109,831,117
77.79,22.21,RHEINLAND_PFALZ,109,12.73,153,75,49.02,935,267,1202,446,94
84.43,15.57,BADEN_WUERTTEMBERG,266,10.94,314,186,59.24,2423,447,2870,1372,183
84.92,15.08,BAYERN,345,15.13,583,315,54.03,3272,581,3853,1129,269
83.5,16.5,SAARLAND,51,12.62,65,36,55.38,430,85,515,246,24
86.34,13.66,BERLIN,79,23.31,297,206,69.36,1100,174,1274,383,64
78.97,21.03,BRANDENBURG,106,18.58,144,79,54.86,612,163,775,344,57
78.16,21.84,MECKLENBURG_VORPOMMERN,58,10.64,75,32,42.67,551,154,705,245,42
73.6,26.4,SACHSEN,143,17.54,285,168,58.95,1196,429,1625,643,94
84.79,15.21,SACHSEN_ANHALT,53,16.09,145,83,57.24,764,137,901,355,55
86.51,13.49,THUERINGEN,57,19.97,157,85,54.14,680,106,786,347,45
