"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
67.68,32.32,SCHLESWIG_HOLSTEIN,3.15,2020-11-19T22:19:07Z,27,12,44.44,580,277,857,438,39
80.72,19.28,HAMBURG,11.65,2020-11-19T22:19:07Z,84,56,66.67,582,139,721,345,34
70.69,29.31,NIEDERSACHSEN,8.32,2020-11-19T22:19:07Z,200,113,56.5,1700,705,2405,991,152
78.6,21.4,BREMEN,14.81,2020-11-19T22:19:07Z,36,30,83.33,191,52,243,132,14
81.13,18.87,NORDRHEIN_WESTFALEN,14.37,2020-11-19T22:19:07Z,951,562,59.1,5370,1249,6619,2514,402
85.53,14.47,HESSEN,15.15,2020-11-19T22:19:07Z,313,187,59.74,1767,299,2066,893,117
69.41,30.59,RHEINLAND_PFALZ,11.26,2020-11-19T22:19:07Z,145,81,55.86,894,394,1288,469,94
78.6,21.4,BADEN_WUERTTEMBERG,13.6,2020-11-19T22:19:07Z,410,230,56.1,2369,645,3014,1558,182
77.97,22.03,BAYERN,12.76,2020-11-19T22:19:07Z,520,307,59.04,3178,898,4076,1654,262
71.3,28.7,SAARLAND,11.59,2020-11-19T22:19:07Z,65,19,29.23,400,161,561,207,25
88.45,11.55,BERLIN,23.97,2020-11-19T22:19:07Z,303,198,65.35,1118,146,1264,444,64
76.85,23.15,BRANDENBURG,10.49,2020-11-19T22:19:07Z,82,50,60.98,601,181,782,426,57
75.8,24.2,MECKLENBURG_VORPOMMERN,3.76,2020-11-19T22:19:07Z,27,17,62.96,545,174,719,263,41
74.73,25.27,SACHSEN,18.11,2020-11-19T22:19:07Z,301,171,56.81,1242,420,1662,723,95
74.67,25.33,SACHSEN_ANHALT,5.05,2020-11-19T22:19:07Z,50,27,54.0,740,251,991,458,56
71.78,28.22,THUERINGEN,9.33,2020-11-19T22:19:07Z,87,27,31.03,669,263,932,454,45
