bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.29,2020-10-09T19:00:05Z,3,3,100.0,609,423,1032,298,39
HAMBURG,1.68,2020-10-09T19:00:05Z,14,8,57.14,591,240,831,299,34
NIEDERSACHSEN,1.38,2020-10-09T19:00:05Z,36,15,41.67,1782,823,2605,979,148
BREMEN,1.65,2020-10-09T19:00:05Z,4,3,75.0,174,68,242,158,14
NORDRHEIN_WESTFALEN,2.38,2020-10-09T19:00:05Z,170,82,48.24,5303,1850,7153,2504,402
HESSEN,1.99,2020-10-09T19:00:05Z,45,20,44.44,1723,540,2263,1014,115
RHEINLAND_PFALZ,1.17,2020-10-09T19:00:05Z,17,8,47.06,910,542,1452,515,95
BADEN_WUERTTEMBERG,2.05,2020-10-09T19:00:05Z,66,30,45.45,2317,904,3221,1528,181
BAYERN,1.46,2020-10-09T19:00:05Z,62,39,62.9,3140,1113,4253,1996,256
SAARLAND,1.23,2020-10-09T19:00:05Z,7,2,28.57,397,170,567,223,23
BERLIN,3.11,2020-10-09T19:00:05Z,38,21,55.26,1029,194,1223,446,65
BRANDENBURG,0.71,2020-10-09T19:00:05Z,6,3,50.0,597,246,843,411,56
MECKLENBURG_VORPOMMERN,0.5,2020-10-09T19:00:05Z,4,3,75.0,581,223,804,300,39
SACHSEN,1.11,2020-10-09T19:00:05Z,20,7,35.0,1204,590,1794,698,95
SACHSEN_ANHALT,0.95,2020-10-09T19:00:05Z,10,6,60.0,729,323,1052,367,56
THUERINGEN,0.88,2020-10-09T19:00:05Z,8,2,25.0,634,278,912,420,44
