bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.79,2020-10-30T17:00:05Z,18,8,44.44,559,449,1008,313,39
HAMBURG,5.08,2020-10-30T17:00:05Z,41,24,58.54,578,229,807,306,34
NIEDERSACHSEN,4.78,2020-10-30T17:00:05Z,119,58,48.74,1764,726,2490,963,150
BREMEN,9.01,2020-10-30T17:00:05Z,20,13,65.0,177,45,222,142,14
NORDRHEIN_WESTFALEN,7.73,2020-10-30T17:00:05Z,531,288,54.24,5359,1509,6868,2777,402
HESSEN,8.28,2020-10-30T17:00:05Z,178,98,55.06,1757,392,2149,1006,115
RHEINLAND_PFALZ,4.54,2020-10-30T17:00:05Z,64,34,53.13,920,491,1411,529,95
BADEN_WUERTTEMBERG,6.52,2020-10-30T17:00:05Z,200,111,55.5,2315,752,3067,1734,181
BAYERN,4.39,2020-10-30T17:00:05Z,184,83,45.11,3061,1135,4196,1891,259
SAARLAND,7.5,2020-10-30T17:00:05Z,40,15,37.5,371,162,533,243,24
BERLIN,14.12,2020-10-30T17:00:05Z,175,96,54.86,1086,153,1239,459,65
BRANDENBURG,5.49,2020-10-30T17:00:05Z,45,19,42.22,566,254,820,431,56
MECKLENBURG_VORPOMMERN,2.28,2020-10-30T17:00:05Z,17,6,35.29,565,180,745,305,39
SACHSEN,9.58,2020-10-30T17:00:05Z,166,54,32.53,1277,456,1733,701,95
SACHSEN_ANHALT,2.47,2020-10-30T17:00:05Z,25,12,48.0,730,282,1012,468,56
THUERINGEN,3.09,2020-10-30T17:00:05Z,29,8,27.59,623,316,939,461,45
