bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.66,2020-10-28T22:00:05Z,17,8,47.06,607,416,1023,302,39
HAMBURG,4.57,2020-10-28T22:00:05Z,37,17,45.95,577,232,809,302,34
NIEDERSACHSEN,4.03,2020-10-28T22:00:05Z,101,51,50.5,1754,752,2506,962,150
BREMEN,8.66,2020-10-28T22:00:05Z,20,12,60.0,186,45,231,141,14
NORDRHEIN_WESTFALEN,6.34,2020-10-28T22:00:05Z,437,223,51.03,5316,1580,6896,2799,402
HESSEN,7.25,2020-10-28T22:00:05Z,157,89,56.69,1772,394,2166,1022,116
RHEINLAND_PFALZ,4.26,2020-10-28T22:00:05Z,60,32,53.33,917,493,1410,528,95
BADEN_WUERTTEMBERG,5.54,2020-10-28T22:00:05Z,171,94,54.97,2303,783,3086,1738,181
BAYERN,3.58,2020-10-28T22:00:05Z,150,66,44.0,3108,1086,4194,1904,260
SAARLAND,5.83,2020-10-28T22:00:05Z,31,11,35.48,354,178,532,238,24
BERLIN,12.67,2020-10-28T22:00:05Z,156,85,54.49,1062,169,1231,459,65
BRANDENBURG,3.91,2020-10-28T22:00:05Z,32,12,37.5,609,210,819,432,56
MECKLENBURG_VORPOMMERN,1.34,2020-10-28T22:00:05Z,10,6,60.0,587,162,749,304,39
SACHSEN,8.33,2020-10-28T22:00:05Z,146,45,30.82,1276,477,1753,715,95
SACHSEN_ANHALT,2.08,2020-10-28T22:00:05Z,21,13,61.9,724,286,1010,468,56
THUERINGEN,3.43,2020-10-28T22:00:05Z,31,6,19.35,622,283,905,422,45
