bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,1.95,2020-10-29T20:00:05Z,20,9,45.0,602,424,1026,311,39
HAMBURG,4.81,2020-10-29T20:00:05Z,39,18,46.15,574,237,811,305,34
NIEDERSACHSEN,4.27,2020-10-29T20:00:05Z,107,55,51.4,1764,739,2503,967,150
BREMEN,10.78,2020-10-29T20:00:05Z,25,12,48.0,181,51,232,143,14
NORDRHEIN_WESTFALEN,6.87,2020-10-29T20:00:05Z,473,249,52.64,5320,1567,6887,2788,402
HESSEN,7.65,2020-10-29T20:00:05Z,166,94,56.63,1754,417,2171,1010,115
RHEINLAND_PFALZ,4.39,2020-10-29T20:00:05Z,62,32,51.61,931,481,1412,515,95
BADEN_WUERTTEMBERG,6.04,2020-10-29T20:00:05Z,186,102,54.84,2315,764,3079,1712,181
BAYERN,3.96,2020-10-29T20:00:05Z,166,72,43.37,3080,1116,4196,1906,260
SAARLAND,7.13,2020-10-29T20:00:05Z,38,14,36.84,365,168,533,241,24
BERLIN,12.62,2020-10-29T20:00:05Z,156,86,55.13,1078,158,1236,458,65
BRANDENBURG,4.51,2020-10-29T20:00:05Z,36,15,41.67,578,221,799,431,55
MECKLENBURG_VORPOMMERN,1.74,2020-10-29T20:00:05Z,13,6,46.15,566,179,745,310,39
SACHSEN,9.03,2020-10-29T20:00:05Z,157,50,31.85,1289,450,1739,702,95
SACHSEN_ANHALT,2.37,2020-10-29T20:00:05Z,24,12,50.0,715,298,1013,468,56
THUERINGEN,3.41,2020-10-29T20:00:05Z,32,6,18.75,623,316,939,459,45
