"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.13,19.87,SCHLESWIG_HOLSTEIN,12.6,97,50,51.55,617,153,770,480,39
82.09,17.91,HAMBURG,11.01,75,47,62.67,559,122,681,326,34
81.87,18.13,NIEDERSACHSEN,11.62,259,146,56.37,1824,404,2228,1016,153
87.95,12.05,BREMEN,15.63,35,25,71.43,197,27,224,135,14
85.28,14.72,NORDRHEIN_WESTFALEN,12.13,788,430,54.57,5539,956,6495,2536,406
87.59,12.41,HESSEN,18.36,389,186,47.81,1856,263,2119,821,117
77.97,22.03,RHEINLAND_PFALZ,14.46,174,86,49.43,938,265,1203,437,94
84.62,15.38,BADEN_WUERTTEMBERG,12.67,365,217,59.45,2438,443,2881,1367,183
85.44,14.56,BAYERN,16.87,650,363,55.85,3291,561,3852,1125,269
87.64,12.36,SAARLAND,16.54,87,41,47.13,461,65,526,236,24
87.93,12.07,BERLIN,26.64,342,233,68.13,1129,155,1284,380,64
79.27,20.73,BRANDENBURG,20.47,156,78,50.0,604,158,762,337,56
78.88,21.12,MECKLENBURG_VORPOMMERN,11.47,82,41,50.0,564,151,715,240,42
75.03,24.97,SACHSEN,21.01,340,175,51.47,1214,404,1618,635,94
87.83,12.17,SACHSEN_ANHALT,17.15,155,93,60.0,794,110,904,356,55
87.19,12.81,THUERINGEN,22.01,177,92,51.98,701,103,804,344,45
