"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
70.55,29.45,SCHLESWIG_HOLSTEIN,4.87,2020-12-23T17:19:12Z,38,22,57.89,551,230,781,430,39
79.51,20.49,HAMBURG,15.33,2020-12-23T17:19:12Z,101,66,65.35,524,135,659,342,34
76.33,23.67,NIEDERSACHSEN,9.7,2020-12-23T17:19:12Z,216,115,53.24,1699,527,2226,1071,154
83.33,16.67,BREMEN,17.11,2020-12-23T17:19:12Z,39,20,51.28,190,38,228,144,14
83.95,16.05,NORDRHEIN_WESTFALEN,17.32,2020-12-23T17:19:12Z,1109,619,55.82,5375,1028,6403,2546,405
85.82,14.18,HESSEN,22.43,2020-12-23T17:19:12Z,454,236,51.98,1737,287,2024,863,117
75.31,24.69,RHEINLAND_PFALZ,18.29,2020-12-23T17:19:12Z,220,98,44.55,906,297,1203,451,94
83.85,16.15,BADEN_WUERTTEMBERG,22.06,2020-12-23T17:19:12Z,620,350,56.45,2357,454,2811,1379,181
83.56,16.44,BAYERN,21.39,2020-12-23T17:19:12Z,820,480,58.54,3203,630,3833,1216,269
84.98,15.02,SAARLAND,17.7,2020-12-23T17:19:12Z,86,33,38.37,413,73,486,254,25
86.64,13.36,BERLIN,30.16,2020-12-23T17:19:12Z,377,251,66.58,1083,167,1250,390,64
81.5,18.5,BRANDENBURG,25.85,2020-12-23T17:19:12Z,197,74,37.56,621,141,762,345,56
75.1,24.9,MECKLENBURG_VORPOMMERN,7.8,2020-12-23T17:19:12Z,57,25,43.86,549,182,731,241,42
82.58,17.42,SACHSEN,36.32,2020-12-23T17:19:12Z,588,257,43.71,1337,282,1619,621,94
80.93,19.07,SACHSEN_ANHALT,15.1,2020-12-23T17:19:12Z,137,72,52.55,734,173,907,359,56
76.69,23.31,THUERINGEN,21.8,2020-12-23T17:19:12Z,174,88,50.57,612,186,798,363,45
