bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.43,2020-11-12T18:00:05Z,21,13,61.9,589,276,865,436,39
HAMBURG,9.73,2020-11-12T18:00:05Z,71,40,56.34,571,159,730,336,34
NIEDERSACHSEN,7.74,2020-11-12T18:00:05Z,190,110,57.89,1710,746,2456,990,152
BREMEN,13.02,2020-11-12T18:00:05Z,28,19,67.86,159,56,215,133,13
NORDRHEIN_WESTFALEN,13.0,2020-11-12T18:00:05Z,866,521,60.16,5316,1347,6663,2629,401
HESSEN,12.97,2020-11-12T18:00:05Z,275,154,56.0,1758,362,2120,955,117
RHEINLAND_PFALZ,9.68,2020-11-12T18:00:05Z,131,73,55.73,940,414,1354,473,95
BADEN_WUERTTEMBERG,11.82,2020-11-12T18:00:05Z,360,209,58.06,2352,694,3046,1555,182
BAYERN,11.19,2020-11-12T18:00:05Z,461,261,56.62,3204,915,4119,1818,262
SAARLAND,12.45,2020-11-12T18:00:05Z,66,20,30.3,364,166,530,226,24
BERLIN,21.95,2020-11-12T18:00:05Z,286,191,66.78,1135,168,1303,435,66
BRANDENBURG,8.38,2020-11-12T18:00:05Z,68,37,54.41,574,237,811,435,57
MECKLENBURG_VORPOMMERN,3.87,2020-11-12T18:00:05Z,28,15,53.57,578,145,723,259,41
SACHSEN,15.62,2020-11-12T18:00:05Z,262,123,46.95,1292,385,1677,700,95
SACHSEN_ANHALT,4.08,2020-11-12T18:00:05Z,40,25,62.5,726,255,981,461,56
THUERINGEN,5.73,2020-11-12T18:00:05Z,55,14,25.45,649,311,960,461,45
