"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
73.06,26.94,SCHLESWIG_HOLSTEIN,3.06,2020-12-09T17:19:10Z,26,14,53.85,621,229,850,427,39
80.65,19.35,HAMBURG,13.05,2020-12-09T17:19:10Z,89,61,68.54,550,132,682,345,34
78.01,21.99,NIEDERSACHSEN,7.58,2020-12-09T17:19:10Z,175,94,53.71,1802,508,2310,1067,153
87.67,12.33,BREMEN,14.1,2020-12-09T17:19:10Z,32,22,68.75,199,28,227,134,14
84.06,15.94,NORDRHEIN_WESTFALEN,14.96,2020-12-09T17:19:10Z,975,615,63.08,5479,1039,6518,2548,406
86.96,13.04,HESSEN,18.37,2020-12-09T17:19:10Z,379,222,58.58,1794,269,2063,896,117
76.25,23.75,RHEINLAND_PFALZ,15.32,2020-12-09T17:19:10Z,187,113,60.43,931,290,1221,460,95
80.83,19.17,BADEN_WUERTTEMBERG,16.71,2020-12-09T17:19:10Z,489,286,58.49,2365,561,2926,1534,182
84.31,15.69,BAYERN,18.78,2020-12-09T17:19:10Z,734,437,59.54,3295,613,3908,1472,270
88.31,11.69,SAARLAND,12.1,2020-12-09T17:19:10Z,60,16,26.67,438,58,496,246,26
87.26,12.74,BERLIN,27.91,2020-12-09T17:19:10Z,357,245,68.63,1116,163,1279,421,64
79.15,20.85,BRANDENBURG,14.34,2020-12-09T17:19:10Z,108,57,52.78,596,157,753,403,56
78.81,21.19,MECKLENBURG_VORPOMMERN,5.97,2020-12-09T17:19:10Z,42,13,30.95,554,149,703,235,42
84.29,15.71,SACHSEN,28.59,2020-12-09T17:19:10Z,466,244,52.36,1374,256,1630,661,95
76.75,23.25,SACHSEN_ANHALT,7.82,2020-12-09T17:19:10Z,75,42,56.0,736,223,959,390,56
80.1,19.9,THUERINGEN,11.19,2020-12-09T17:19:10Z,90,41,45.56,644,160,804,413,45
