"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
75.42,24.58,SCHLESWIG_HOLSTEIN,10.53,81,45,55.56,580,189,769,474,39
80.27,19.73,HAMBURG,11.06,74,45,60.81,537,132,669,338,34
79.31,20.69,NIEDERSACHSEN,11.03,242,140,57.85,1740,454,2194,1021,153
84.83,15.17,BREMEN,15.17,32,24,75.0,179,32,211,132,14
83.31,16.69,NORDRHEIN_WESTFALEN,11.97,770,418,54.29,5360,1074,6434,2520,405
85.73,14.27,HESSEN,18.28,383,192,50.13,1796,299,2095,826,117
74.56,25.44,RHEINLAND_PFALZ,13.82,164,81,49.39,885,302,1187,450,94
81.63,18.37,BADEN_WUERTTEMBERG,12.29,350,212,60.57,2324,523,2847,1376,183
82.53,17.47,BAYERN,16.4,627,339,54.07,3155,668,3823,1139,269
79.65,20.35,SAARLAND,15.89,82,42,51.22,411,105,516,242,24
83.39,16.61,BERLIN,23.98,306,219,71.57,1064,212,1276,378,64
75.34,24.66,BRANDENBURG,19.44,145,79,54.48,562,184,746,341,56
75.04,24.96,MECKLENBURG_VORPOMMERN,10.7,75,37,49.33,526,175,701,248,42
72.38,27.62,SACHSEN,18.87,304,161,52.96,1166,445,1611,643,94
84.62,15.38,SACHSEN_ANHALT,16.26,147,86,58.5,765,139,904,355,55
82.29,17.71,THUERINGEN,18.85,148,85,57.43,646,139,785,347,45
