"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
71.29,28.71,SCHLESWIG_HOLSTEIN,3.35,2020-12-13T17:19:07Z,28,17,60.71,596,240,836,429,39
79.76,20.24,HAMBURG,13.15,2020-12-13T17:19:07Z,89,54,60.67,540,137,677,347,34
75.12,24.88,NIEDERSACHSEN,8.09,2020-12-13T17:19:07Z,182,91,50.0,1691,560,2251,1079,153
79.15,20.85,BREMEN,17.06,2020-12-13T17:19:07Z,36,25,69.44,167,44,211,137,14
82.86,17.14,NORDRHEIN_WESTFALEN,16.32,2020-12-13T17:19:07Z,1048,650,62.02,5321,1101,6422,2558,406
86.3,13.7,HESSEN,19.44,2020-12-13T17:19:07Z,396,237,59.85,1758,279,2037,898,117
74.35,25.65,RHEINLAND_PFALZ,15.32,2020-12-13T17:19:07Z,184,103,55.98,893,308,1201,459,95
80.19,19.81,BADEN_WUERTTEMBERG,18.26,2020-12-13T17:19:07Z,528,306,57.95,2319,573,2892,1532,182
82.49,17.51,BAYERN,19.34,2020-12-13T17:19:07Z,751,434,57.79,3204,680,3884,1317,270
78.98,21.02,SAARLAND,13.88,2020-12-13T17:19:07Z,68,24,35.29,387,103,490,257,26
85.93,14.07,BERLIN,28.62,2020-12-13T17:19:07Z,362,226,62.43,1087,178,1265,422,64
76.22,23.78,BRANDENBURG,17.17,2020-12-13T17:19:07Z,130,62,47.69,577,180,757,390,56
73.05,26.95,MECKLENBURG_VORPOMMERN,5.53,2020-12-13T17:19:07Z,39,14,35.9,515,190,705,243,42
84.53,15.47,SACHSEN,32.04,2020-12-13T17:19:07Z,520,265,50.96,1372,251,1623,661,95
77.07,22.93,SACHSEN_ANHALT,9.13,2020-12-13T17:19:07Z,86,47,54.65,726,216,942,399,56
76.87,23.13,THUERINGEN,14.1,2020-12-13T17:19:07Z,111,52,46.85,605,182,787,414,45
