"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.02,27.98,SCHLESWIG_HOLSTEIN,2.83,2020-12-10T17:19:06Z,24,13,54.17,610,237,847,427,39
80.76,19.24,HAMBURG,13.8,2020-12-10T17:19:06Z,94,61,64.89,550,131,681,346,34
78.44,21.56,NIEDERSACHSEN,7.62,2020-12-10T17:19:06Z,176,97,55.11,1812,498,2310,1066,153
86.78,13.22,BREMEN,14.54,2020-12-10T17:19:06Z,33,22,66.67,197,30,227,135,14
84.8,15.2,NORDRHEIN_WESTFALEN,15.21,2020-12-10T17:19:06Z,989,613,61.98,5514,988,6502,2543,405
86.92,13.08,HESSEN,18.12,2020-12-10T17:19:06Z,374,224,59.89,1794,270,2064,889,117
76.49,23.51,RHEINLAND_PFALZ,14.5,2020-12-10T17:19:06Z,177,102,57.63,934,287,1221,455,95
80.85,19.15,BADEN_WUERTTEMBERG,17.77,2020-12-10T17:19:06Z,516,294,56.98,2348,556,2904,1541,182
84.21,15.79,BAYERN,18.34,2020-12-10T17:19:06Z,720,436,60.56,3306,620,3926,1324,270
85.11,14.89,SAARLAND,12.88,2020-12-10T17:19:06Z,64,17,26.56,423,74,497,247,26
88.15,11.85,BERLIN,28.06,2020-12-10T17:19:06Z,360,236,65.56,1131,152,1283,421,64
80.29,19.71,BRANDENBURG,15.08,2020-12-10T17:19:06Z,114,53,46.49,607,149,756,396,56
78.41,21.59,MECKLENBURG_VORPOMMERN,5.97,2020-12-10T17:19:06Z,42,13,30.95,552,152,704,237,42
85.11,14.89,SACHSEN,28.98,2020-12-10T17:19:06Z,473,241,50.95,1389,243,1632,660,95
78.47,21.53,SACHSEN_ANHALT,8.06,2020-12-10T17:19:06Z,76,40,52.63,740,203,943,396,56
82.04,17.96,THUERINGEN,12.72,2020-12-10T17:19:06Z,102,45,44.12,658,144,802,416,45
