bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.98,2020-10-24T17:00:05Z,10,4,40.0,589,428,1017,305,39
HAMBURG,3.41,2020-10-24T17:00:05Z,28,8,28.57,584,238,822,298,34
NIEDERSACHSEN,3.05,2020-10-24T17:00:05Z,77,37,48.05,1730,795,2525,961,151
BREMEN,8.73,2020-10-24T17:00:05Z,20,9,45.0,178,51,229,136,14
NORDRHEIN_WESTFALEN,4.72,2020-10-24T17:00:05Z,321,157,48.91,5130,1677,6807,2776,400
HESSEN,5.36,2020-10-24T17:00:05Z,116,44,37.93,1748,418,2166,1017,116
RHEINLAND_PFALZ,3.47,2020-10-24T17:00:05Z,49,20,40.82,886,527,1413,522,95
BADEN_WUERTTEMBERG,4.22,2020-10-24T17:00:05Z,132,69,52.27,2278,853,3131,1713,181
BAYERN,2.62,2020-10-24T17:00:05Z,110,54,49.09,3111,1094,4205,2000,260
SAARLAND,5.29,2020-10-24T17:00:05Z,28,9,32.14,358,171,529,240,24
BERLIN,9.85,2020-10-24T17:00:05Z,121,60,49.59,1055,173,1228,459,65
BRANDENBURG,3.52,2020-10-24T17:00:05Z,31,10,32.26,611,270,881,418,57
MECKLENBURG_VORPOMMERN,1.47,2020-10-24T17:00:05Z,11,5,45.45,564,184,748,304,39
SACHSEN,6.15,2020-10-24T17:00:05Z,107,32,29.91,1239,502,1741,721,95
SACHSEN_ANHALT,1.88,2020-10-24T17:00:05Z,19,6,31.58,731,281,1012,472,56
THUERINGEN,2.57,2020-10-24T17:00:05Z,23,5,21.74,615,281,896,420,44
