bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,3.17,2020-11-09T21:00:05Z,28,13,46.43,546,337,883,433,39
HAMBURG,9.92,2020-11-09T21:00:05Z,73,39,53.42,566,170,736,348,34
NIEDERSACHSEN,7.21,2020-11-09T21:00:05Z,177,104,58.76,1652,803,2455,986,150
BREMEN,13.28,2020-11-09T21:00:05Z,32,21,65.63,183,58,241,144,14
NORDRHEIN_WESTFALEN,12.39,2020-11-09T21:00:05Z,826,521,63.08,5194,1474,6668,2641,402
HESSEN,12.93,2020-11-09T21:00:05Z,276,141,51.09,1694,441,2135,956,118
RHEINLAND_PFALZ,7.58,2020-11-09T21:00:05Z,104,68,65.38,883,489,1372,470,95
BADEN_WUERTTEMBERG,11.43,2020-11-09T21:00:05Z,345,192,55.65,2215,804,3019,1581,181
BAYERN,7.76,2020-11-09T21:00:05Z,385,204,52.99,3015,1948,4963,1874,261
SAARLAND,10.8,2020-11-09T21:00:05Z,57,20,35.09,350,178,528,229,24
BERLIN,21.41,2020-11-09T21:00:05Z,268,178,66.42,1050,202,1252,442,65
BRANDENBURG,7.69,2020-11-09T21:00:05Z,61,39,63.93,554,239,793,417,56
MECKLENBURG_VORPOMMERN,3.0,2020-11-09T21:00:05Z,25,11,44.0,626,207,833,256,42
SACHSEN,15.91,2020-11-09T21:00:05Z,268,116,43.28,1244,441,1685,703,95
SACHSEN_ANHALT,3.45,2020-11-09T21:00:05Z,34,15,44.12,717,268,985,470,56
THUERINGEN,6.62,2020-11-09T21:00:05Z,61,16,26.23,599,322,921,461,45
