bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.69,2020-11-11T22:00:05Z,23,14,60.87,597,259,856,436,39
HAMBURG,10.26,2020-11-11T22:00:05Z,76,41,53.95,595,146,741,331,34
NIEDERSACHSEN,7.76,2020-11-11T22:00:05Z,191,109,57.07,1707,754,2461,989,152
BREMEN,16.74,2020-11-11T22:00:05Z,36,23,63.89,181,34,215,133,13
NORDRHEIN_WESTFALEN,12.83,2020-11-11T22:00:05Z,857,536,62.54,5315,1364,6679,2642,402
HESSEN,12.82,2020-11-11T22:00:05Z,273,147,53.85,1746,384,2130,947,117
RHEINLAND_PFALZ,8.72,2020-11-11T22:00:05Z,119,61,51.26,913,451,1364,466,95
BADEN_WUERTTEMBERG,11.36,2020-11-11T22:00:05Z,345,202,58.55,2292,744,3036,1568,181
BAYERN,10.76,2020-11-11T22:00:05Z,443,247,55.76,3196,922,4118,1817,261
SAARLAND,11.51,2020-11-11T22:00:05Z,61,18,29.51,363,167,530,229,24
BERLIN,21.93,2020-11-11T22:00:05Z,284,190,66.9,1137,158,1295,437,66
BRANDENBURG,8.76,2020-11-11T22:00:05Z,69,38,55.07,569,219,788,432,56
MECKLENBURG_VORPOMMERN,3.16,2020-11-11T22:00:05Z,23,12,52.17,558,169,727,259,41
SACHSEN,15.28,2020-11-11T22:00:05Z,258,120,46.51,1276,412,1688,699,95
SACHSEN_ANHALT,3.86,2020-11-11T22:00:05Z,38,23,60.53,744,241,985,461,56
THUERINGEN,5.86,2020-11-11T22:00:05Z,54,17,31.48,635,287,922,461,45
