"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.84,23.16,SCHLESWIG_HOLSTEIN,64,10.74,83,54,65.06,594,179,773,477,39
79.51,20.49,HAMBURG,51,9.01,62,35,56.45,547,141,688,321,34
80.36,19.64,NIEDERSACHSEN,174,10.63,231,130,56.28,1747,427,2174,1028,153
85.93,14.07,BREMEN,17,15.08,30,19,63.33,171,28,199,141,14
84.25,15.75,NORDRHEIN_WESTFALEN,483,10.72,689,379,55.01,5414,1012,6426,2541,406
85.7,14.3,HESSEN,127,16.78,352,174,49.43,1798,300,2098,822,117
77.12,22.88,RHEINLAND_PFALZ,124,11.35,135,66,48.89,917,272,1189,454,94
82.73,17.27,BADEN_WUERTTEMBERG,287,9.86,282,156,55.32,2366,494,2860,1379,183
83.74,16.26,BAYERN,336,14.68,566,302,53.36,3228,627,3855,1079,270
84.08,15.92,SAARLAND,45,12.23,63,34,53.97,433,82,515,247,24
85.83,14.17,BERLIN,92,21.22,271,194,71.59,1096,181,1277,382,64
79.56,20.44,BRANDENBURG,85,18.75,144,77,53.47,611,157,768,343,57
77.89,22.11,MECKLENBURG_VORPOMMERN,58,9.56,67,30,44.78,546,155,701,245,42
73.54,26.46,SACHSEN,147,15.3,247,142,57.49,1187,427,1614,633,94
81.42,18.58,SACHSEN_ANHALT,71,14.35,129,73,56.59,732,167,899,352,55
83.48,16.52,THUERINGEN,70,17.55,136,74,54.41,647,128,775,353,45
