"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
70.93,29.07,SCHLESWIG_HOLSTEIN,3.47,2020-12-14T18:19:12Z,29,16,55.17,593,243,836,433,39
80.56,19.44,HAMBURG,13.99,2020-12-14T18:19:12Z,95,55,57.89,547,132,679,347,34
75.79,24.21,NIEDERSACHSEN,8.03,2020-12-14T18:19:12Z,183,94,51.37,1728,552,2280,1064,152
79.57,20.43,BREMEN,16.96,2020-12-14T18:19:12Z,39,25,64.1,183,47,230,138,14
84.0,16.0,NORDRHEIN_WESTFALEN,16.36,2020-12-14T18:19:12Z,1055,636,60.28,5418,1032,6450,2557,406
86.11,13.89,HESSEN,19.71,2020-12-14T18:19:12Z,403,237,58.81,1761,284,2045,885,117
75.06,24.94,RHEINLAND_PFALZ,15.69,2020-12-14T18:19:12Z,190,106,55.79,909,302,1211,464,95
80.52,19.48,BADEN_WUERTTEMBERG,19.17,2020-12-14T18:19:12Z,555,316,56.94,2331,564,2895,1528,182
83.07,16.93,BAYERN,20.12,2020-12-14T18:19:12Z,782,457,58.44,3228,658,3886,1311,270
85.29,14.71,SAARLAND,13.72,2020-12-14T18:19:12Z,69,26,37.68,429,74,503,247,26
85.78,14.22,BERLIN,29.07,2020-12-14T18:19:12Z,370,232,62.7,1092,181,1273,422,64
75.39,24.61,BRANDENBURG,17.5,2020-12-14T18:19:12Z,133,66,49.62,573,187,760,393,56
74.44,25.56,MECKLENBURG_VORPOMMERN,5.08,2020-12-14T18:19:12Z,36,16,44.44,527,181,708,240,42
83.79,16.21,SACHSEN,33.03,2020-12-14T18:19:12Z,540,288,53.33,1370,265,1635,654,95
78.95,21.05,SACHSEN_ANHALT,10.15,2020-12-14T18:19:12Z,95,54,56.84,739,197,936,399,56
77.44,22.56,THUERINGEN,14.16,2020-12-14T18:19:12Z,113,56,49.56,618,180,798,413,45
