bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.48,2020-10-15T21:00:05Z,5,4,80.0,610,426,1036,298,39
HAMBURG,2.29,2020-10-15T21:00:05Z,19,11,57.89,586,245,831,301,34
NIEDERSACHSEN,1.73,2020-10-15T21:00:05Z,45,19,42.22,1761,846,2607,965,149
BREMEN,5.21,2020-10-15T21:00:05Z,11,4,36.36,164,47,211,150,13
NORDRHEIN_WESTFALEN,2.73,2020-10-15T21:00:05Z,196,97,49.49,5188,1989,7177,2595,406
HESSEN,2.15,2020-10-15T21:00:05Z,49,27,55.1,1730,545,2275,991,116
RHEINLAND_PFALZ,1.73,2020-10-15T21:00:05Z,25,12,48.0,880,563,1443,504,95
BADEN_WUERTTEMBERG,2.14,2020-10-15T21:00:05Z,69,41,59.42,2321,898,3219,1666,181
BAYERN,1.86,2020-10-15T21:00:05Z,79,48,60.76,3113,1134,4247,1990,257
SAARLAND,2.47,2020-10-15T21:00:05Z,14,4,28.57,365,201,566,222,23
BERLIN,5.52,2020-10-15T21:00:05Z,68,28,41.18,1034,197,1231,449,65
BRANDENBURG,1.07,2020-10-15T21:00:05Z,9,3,33.33,571,271,842,427,56
MECKLENBURG_VORPOMMERN,0.76,2020-10-15T21:00:05Z,6,3,50.0,575,210,785,303,39
SACHSEN,2.23,2020-10-15T21:00:05Z,40,23,57.5,1229,567,1796,700,95
SACHSEN_ANHALT,1.04,2020-10-15T21:00:05Z,11,6,54.55,744,315,1059,368,56
THUERINGEN,1.43,2020-10-15T21:00:05Z,13,3,23.08,636,272,908,427,44
