bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.68,2020-10-17T19:00:05Z,7,4,57.14,585,447,1032,298,39
HAMBURG,2.41,2020-10-17T19:00:05Z,20,14,70.0,578,253,831,298,34
NIEDERSACHSEN,1.66,2020-10-17T19:00:05Z,43,22,51.16,1732,863,2595,956,151
BREMEN,5.37,2020-10-17T19:00:05Z,11,3,27.27,159,46,205,150,13
NORDRHEIN_WESTFALEN,2.98,2020-10-17T19:00:05Z,212,97,45.75,5101,2023,7124,2617,404
HESSEN,2.65,2020-10-17T19:00:05Z,60,33,55.0,1694,572,2266,982,116
RHEINLAND_PFALZ,1.96,2020-10-17T19:00:05Z,28,14,50.0,876,556,1432,513,95
BADEN_WUERTTEMBERG,2.53,2020-10-17T19:00:05Z,81,40,49.38,2318,884,3202,1654,181
BAYERN,2.02,2020-10-17T19:00:05Z,85,43,50.59,3060,1152,4212,1987,257
SAARLAND,3.19,2020-10-17T19:00:05Z,18,6,33.33,374,191,565,223,23
BERLIN,5.91,2020-10-17T19:00:05Z,73,29,39.73,1025,211,1236,455,65
BRANDENBURG,1.44,2020-10-17T19:00:05Z,12,3,25.0,587,247,834,401,56
MECKLENBURG_VORPOMMERN,0.76,2020-10-17T19:00:05Z,6,2,33.33,572,214,786,301,39
SACHSEN,2.7,2020-10-17T19:00:05Z,48,27,56.25,1181,599,1780,695,95
SACHSEN_ANHALT,1.04,2020-10-17T19:00:05Z,11,5,45.45,747,314,1061,397,56
THUERINGEN,1.77,2020-10-17T19:00:05Z,16,3,18.75,637,269,906,429,44
