"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
68.46,31.54,SCHLESWIG_HOLSTEIN,2.45,2020-11-25T22:19:12Z,21,13,61.9,586,270,856,433,39
78.13,21.87,HAMBURG,11.14,2020-11-25T22:19:12Z,80,52,65.0,561,157,718,340,34
75.75,24.25,NIEDERSACHSEN,8.55,2020-11-25T22:19:12Z,196,104,53.06,1737,556,2293,1069,152
82.1,17.9,BREMEN,14.85,2020-11-25T22:19:12Z,34,22,64.71,188,41,229,127,14
82.34,17.66,NORDRHEIN_WESTFALEN,14.72,2020-11-25T22:19:12Z,970,596,61.44,5426,1164,6590,2504,404
84.98,15.02,HESSEN,15.6,2020-11-25T22:19:12Z,324,200,61.73,1765,312,2077,923,118
72.99,27.01,RHEINLAND_PFALZ,14.42,2020-11-25T22:19:12Z,181,105,58.01,916,339,1255,448,94
77.69,22.31,BADEN_WUERTTEMBERG,14.18,2020-11-25T22:19:12Z,427,241,56.44,2340,672,3012,1525,182
80.5,19.5,BAYERN,15.16,2020-11-25T22:19:12Z,611,351,57.45,3245,786,4031,1663,264
83.07,16.93,SAARLAND,12.15,2020-11-25T22:19:12Z,61,23,37.7,417,85,502,242,24
85.67,14.33,BERLIN,23.29,2020-11-25T22:19:12Z,299,212,70.9,1100,184,1284,422,64
74.77,25.23,BRANDENBURG,11.24,2020-11-25T22:19:12Z,86,48,55.81,572,193,765,425,56
78.54,21.46,MECKLENBURG_VORPOMMERN,4.29,2020-11-25T22:19:12Z,30,15,50.0,549,150,699,253,41
78.3,21.7,SACHSEN,21.15,2020-11-25T22:19:12Z,345,194,56.23,1277,354,1631,734,95
73.01,26.99,SACHSEN_ANHALT,5.69,2020-11-25T22:19:12Z,55,26,47.27,706,261,967,456,55
76.24,23.76,THUERINGEN,8.87,2020-11-25T22:19:12Z,75,31,41.33,645,201,846,421,45
