bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.6,2020-11-03T21:00:05Z,23,12,52.17,585,298,883,430,39
HAMBURG,6.54,2020-11-03T21:00:05Z,52,30,57.69,584,211,795,317,34
NIEDERSACHSEN,4.96,2020-11-03T21:00:05Z,124,68,54.84,1705,793,2498,1002,151
BREMEN,14.54,2020-11-03T21:00:05Z,33,22,66.67,191,36,227,135,14
NORDRHEIN_WESTFALEN,10.16,2020-11-03T21:00:05Z,691,385,55.72,5317,1486,6803,2794,403
HESSEN,10.39,2020-11-03T21:00:05Z,223,118,52.91,1700,447,2147,972,115
RHEINLAND_PFALZ,5.75,2020-11-03T21:00:05Z,80,46,57.5,892,500,1392,512,95
BADEN_WUERTTEMBERG,8.41,2020-11-03T21:00:05Z,253,139,54.94,2265,742,3007,1657,180
BAYERN,7.04,2020-11-03T21:00:05Z,288,154,53.47,3077,1013,4090,1924,259
SAARLAND,9.64,2020-11-03T21:00:05Z,51,15,29.41,358,171,529,224,24
BERLIN,18.02,2020-11-03T21:00:05Z,220,136,61.82,1090,131,1221,453,65
BRANDENBURG,8.74,2020-11-03T21:00:05Z,70,26,37.14,597,204,801,447,56
MECKLENBURG_VORPOMMERN,2.59,2020-11-03T21:00:05Z,19,7,36.84,570,163,733,265,39
SACHSEN,12.46,2020-11-03T21:00:05Z,213,80,37.56,1291,418,1709,701,95
SACHSEN_ANHALT,2.4,2020-11-03T21:00:05Z,24,15,62.5,740,260,1000,472,56
THUERINGEN,3.53,2020-11-03T21:00:05Z,33,11,33.33,611,324,935,451,45
