"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.28,23.72,SCHLESWIG_HOLSTEIN,58,10.9,2021-02-15T17:19:10Z,85,54,63.53,595,185,780,477,39
81.62,18.38,HAMBURG,49,11.18,2021-02-15T17:19:10Z,76,40,52.63,555,125,680,333,34
79.95,20.05,NIEDERSACHSEN,194,10.07,2021-02-15T17:19:10Z,220,124,56.36,1746,438,2184,1015,153
87.1,12.9,BREMEN,15,15.67,2021-02-15T17:19:10Z,34,22,64.71,189,28,217,141,14
83.76,16.24,NORDRHEIN_WESTFALEN,506,10.47,2021-02-15T17:19:10Z,671,387,57.68,5368,1041,6409,2528,405
84.16,15.84,HESSEN,137,15.93,2021-02-15T17:19:10Z,333,173,51.95,1759,331,2090,817,116
75.08,24.92,RHEINLAND_PFALZ,131,11.57,2021-02-15T17:19:10Z,137,68,49.64,889,295,1184,455,94
81.21,18.79,BADEN_WUERTTEMBERG,299,10.21,2021-02-15T17:19:10Z,293,161,54.95,2330,539,2869,1372,183
82.15,17.85,BAYERN,358,14.38,2021-02-15T17:19:10Z,551,294,53.36,3149,684,3833,1087,270
81.2,18.8,SAARLAND,54,11.43,2021-02-15T17:19:10Z,59,35,59.32,419,97,516,249,24
85.31,14.69,BERLIN,81,21.52,2021-02-15T17:19:10Z,274,191,69.71,1086,187,1273,383,64
77.23,22.77,BRANDENBURG,96,18.11,2021-02-15T17:19:10Z,140,81,57.86,597,176,773,345,57
79.43,20.57,MECKLENBURG_VORPOMMERN,63,9.08,2021-02-15T17:19:10Z,64,29,45.31,560,145,705,243,42
72.17,27.83,SACHSEN,160,15.34,2021-02-15T17:19:10Z,248,136,54.84,1167,450,1617,641,94
83.22,16.78,SACHSEN_ANHALT,70,14.09,2021-02-15T17:19:10Z,126,70,55.56,744,150,894,355,55
85.56,14.44,THUERINGEN,63,17.06,2021-02-15T17:19:10Z,130,66,50.77,652,110,762,355,45
