"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
73.57,26.43,SCHLESWIG_HOLSTEIN,3.53,2020-12-18T17:19:13Z,29,15,51.72,604,217,821,433,39
81.6,18.4,HAMBURG,15.28,2020-12-18T17:19:13Z,103,53,51.46,550,124,674,345,34
77.06,22.94,NIEDERSACHSEN,8.94,2020-12-18T17:19:13Z,201,96,47.76,1733,516,2249,1083,152
84.89,15.11,BREMEN,14.67,2020-12-18T17:19:13Z,33,23,69.7,191,34,225,140,14
85.21,14.79,NORDRHEIN_WESTFALEN,16.57,2020-12-18T17:19:13Z,1070,568,53.08,5501,955,6456,2542,406
86.17,13.83,HESSEN,20.94,2020-12-18T17:19:13Z,424,246,58.02,1745,280,2025,876,117
77.9,22.1,RHEINLAND_PFALZ,16.14,2020-12-18T17:19:13Z,195,108,55.38,941,267,1208,443,95
84.22,15.78,BADEN_WUERTTEMBERG,20.29,2020-12-18T17:19:13Z,571,322,56.39,2370,444,2814,1392,180
85.19,14.81,BAYERN,20.73,2020-12-18T17:19:13Z,809,447,55.25,3324,578,3902,1232,270
82.38,17.62,SAARLAND,16.04,2020-12-18T17:19:13Z,81,27,33.33,416,89,505,242,26
87.24,12.76,BERLIN,28.97,2020-12-18T17:19:13Z,361,236,65.37,1087,159,1246,407,64
79.63,20.37,BRANDENBURG,20.89,2020-12-18T17:19:13Z,160,70,43.75,610,156,766,348,56
75.14,24.86,MECKLENBURG_VORPOMMERN,7.42,2020-12-18T17:19:13Z,54,18,33.33,547,181,728,241,42
85.87,14.13,SACHSEN,35.08,2020-12-18T17:19:13Z,576,267,46.35,1410,232,1642,619,93
82.29,17.71,SACHSEN_ANHALT,12.53,2020-12-18T17:19:13Z,116,53,45.69,762,164,926,381,56
81.22,18.78,THUERINGEN,15.48,2020-12-18T17:19:13Z,122,52,42.62,640,148,788,399,45
