"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
73.72,26.28,SCHLESWIG_HOLSTEIN,3.33,2020-12-17T09:19:12Z,28,17,60.71,620,221,841,433,39
82.79,17.21,HAMBURG,15.29,2020-12-17T09:19:12Z,104,53,50.96,563,117,680,346,34
77.01,22.99,NIEDERSACHSEN,8.56,2020-12-17T09:19:12Z,194,100,51.55,1745,521,2266,1065,152
85.71,14.29,BREMEN,16.45,2020-12-17T09:19:12Z,38,25,65.79,198,33,231,137,14
83.77,16.23,NORDRHEIN_WESTFALEN,16.6,2020-12-17T09:19:12Z,1071,633,59.1,5404,1047,6451,2545,406
86.79,13.21,HESSEN,20.79,2020-12-17T09:19:12Z,425,245,57.65,1774,270,2044,876,117
76.26,23.74,RHEINLAND_PFALZ,14.97,2020-12-17T09:19:12Z,181,114,62.98,922,287,1209,453,95
83.78,16.22,BADEN_WUERTTEMBERG,19.99,2020-12-17T09:19:12Z,573,334,58.29,2402,465,2867,1390,182
85.41,14.59,BAYERN,20.69,2020-12-17T09:19:12Z,807,485,60.1,3332,569,3901,1299,270
82.61,17.39,SAARLAND,14.23,2020-12-17T09:19:12Z,72,27,37.5,418,88,506,245,26
88.78,11.22,BERLIN,30.07,2020-12-17T09:19:12Z,378,238,62.96,1116,141,1257,410,64
79.51,20.49,BRANDENBURG,19.2,2020-12-17T09:19:12Z,148,70,47.3,613,158,771,360,56
77.32,22.68,MECKLENBURG_VORPOMMERN,8.17,2020-12-17T09:19:12Z,58,21,36.21,549,161,710,242,42
87.14,12.86,SACHSEN,34.65,2020-12-17T09:19:12Z,571,306,53.59,1436,212,1648,629,95
82.47,17.53,SACHSEN_ANHALT,11.26,2020-12-17T09:19:12Z,104,63,60.58,762,162,924,388,56
82.3,17.7,THUERINGEN,15.42,2020-12-17T09:19:12Z,122,56,45.9,651,140,791,403,45
