"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.27,27.73,SCHLESWIG_HOLSTEIN,3.76,2020-12-21T17:19:10Z,30,14,46.67,576,221,797,441,39
82.52,17.48,HAMBURG,16.41,2020-12-21T17:19:10Z,107,66,61.68,538,114,652,343,34
76.81,23.19,NIEDERSACHSEN,9.71,2020-12-21T17:19:10Z,217,98,45.16,1716,518,2234,1047,152
86.88,13.12,BREMEN,18.1,2020-12-21T17:19:10Z,40,23,57.5,192,29,221,144,14
83.76,16.24,NORDRHEIN_WESTFALEN,17.32,2020-12-21T17:19:10Z,1117,591,52.91,5402,1047,6449,2559,406
84.5,15.5,HESSEN,21.37,2020-12-21T17:19:10Z,433,242,55.89,1712,314,2026,877,117
76.48,23.52,RHEINLAND_PFALZ,17.12,2020-12-21T17:19:10Z,206,100,48.54,920,283,1203,450,95
82.68,17.32,BADEN_WUERTTEMBERG,21.43,2020-12-21T17:19:10Z,604,330,54.64,2330,488,2818,1385,182
83.29,16.71,BAYERN,21.18,2020-12-21T17:19:10Z,819,458,55.92,3221,646,3867,1230,270
83.93,16.07,SAARLAND,17.66,2020-12-21T17:19:10Z,89,32,35.96,423,81,504,242,26
86.54,13.46,BERLIN,30.21,2020-12-21T17:19:10Z,377,239,63.4,1080,168,1248,396,64
81.09,18.91,BRANDENBURG,25.17,2020-12-21T17:19:10Z,189,64,33.86,609,142,751,349,56
73.98,26.02,MECKLENBURG_VORPOMMERN,7.22,2020-12-21T17:19:10Z,53,19,35.85,543,191,734,241,42
85.0,15.0,SACHSEN,37.15,2020-12-21T17:19:10Z,597,278,46.57,1366,241,1607,636,93
80.54,19.46,SACHSEN_ANHALT,14.7,2020-12-21T17:19:10Z,136,62,45.59,745,180,925,371,56
77.52,22.48,THUERINGEN,18.9,2020-12-21T17:19:10Z,148,74,50.0,607,176,783,400,45
